,Unnamed: 0,eta,epsilon,mu,K,TMSE,CB
96,96,0.5,0.35,0.4,2,3.9038889869728193,193
97,97,0.5,0.35,0.4,4,4.325183610079966,165
98,98,0.5,0.35,0.4,6,3.4116542249734914,22
99,99,0.5,0.35,0.4,8,5.209900158881148,222
100,100,0.5,0.5,0.05,1,1.011560526980682,17
101,101,0.5,0.5,0.05,2,0.8793232109497179,16
102,102,0.5,0.5,0.05,4,1.2159756620229785,20
103,103,0.5,0.5,0.05,6,0.6908411640271059,23
104,104,0.5,0.5,0.05,8,0.4891921141707442,27
105,105,0.5,0.5,0.1,1,1.8763278608687084,10
106,106,0.5,0.5,0.1,2,2.101891760715412,11
107,107,0.5,0.5,0.1,4,1.8236079166392307,14
108,108,0.5,0.5,0.1,6,0.7637749754565684,17
109,109,0.5,0.5,0.1,8,1.0886786814966365,19
110,110,0.5,0.5,0.2,1,5.439825192205026,7
111,111,0.5,0.5,0.2,2,3.0369306957459825,8
112,112,0.5,0.5,0.2,4,1.886158746702939,11
113,113,0.5,0.5,0.2,6,2.0065467508153345,13
114,114,0.5,0.5,0.2,8,1.3418578325596324,19
115,115,0.5,0.5,0.3,1,5.107242850646252,6
116,116,0.5,0.5,0.3,2,5.147487167814024,7
117,117,0.5,0.5,0.3,4,3.7820371816882985,9
118,118,0.5,0.5,0.3,6,0.9281127886146844,17
119,119,0.5,0.5,0.3,8,2.4956789429168107,20
120,120,0.5,0.5,0.4,1,7.2896973783913745,8
121,121,0.5,0.5,0.4,2,4.248298951806205,8
122,122,0.5,0.5,0.4,4,4.081087948170588,9
123,123,0.5,0.5,0.4,6,3.4806540133035413,14
124,124,0.5,0.5,0.4,8,3.1142894246954844,17
125,125,0.5,1.0,0.05,1,1.0895037792386968,9
126,126,0.5,1.0,0.05,2,0.9635687381092688,9
127,127,0.5,1.0,0.05,4,0.8890418735785515,10
128,128,0.5,1.0,0.05,6,0.7641710023293417,11
129,129,0.5,1.0,0.05,8,0.7156341935240127,12
130,130,0.5,1.0,0.1,1,2.3634772408054627,6
131,131,0.5,1.0,0.1,2,1.4249762209176364,7
132,132,0.5,1.0,0.1,4,1.5464584402320576,9
133,133,0.5,1.0,0.1,6,1.2047091783878283,10
134,134,0.5,1.0,0.1,8,1.0806942277941285,11
135,135,0.5,1.0,0.2,1,1.9934854394733752,4
136,136,0.5,1.0,0.2,2,1.9581041492706168,6
137,137,0.5,1.0,0.2,4,1.6257985003319402,7
138,138,0.5,1.0,0.2,6,1.5643625782112105,9
139,139,0.5,1.0,0.2,8,1.3216085947227492,10
140,140,0.5,1.0,0.3,1,4.19296118901745,5
141,141,0.5,1.0,0.3,2,2.6148837533936047,5
142,142,0.5,1.0,0.3,4,2.188956323447445,6
143,143,0.5,1.0,0.3,6,1.6673809825345738,8
144,144,0.5,1.0,0.3,8,1.3287727284160191,9
145,145,0.5,1.0,0.4,1,5.724410155370097,3
146,146,0.5,1.0,0.4,2,4.701104744359014,4
147,147,0.5,1.0,0.4,4,2.0515191910749753,7
148,148,0.5,1.0,0.4,6,2.739145467598936,8
149,149,0.5,1.0,0.4,8,1.963070251858272,9
150,150,0.9,0.35,0.05,1,0.9743266971330372,25
151,151,0.9,0.35,0.05,2,2.1900389022162754,25
152,152,0.9,0.35,0.05,4,3.233829709424913,27
153,153,0.9,0.35,0.05,6,1.1182413048222948,31
154,154,0.9,0.35,0.05,8,1.1430472307202355,34
155,155,0.9,0.35,0.1,1,9.92497293326386,16
156,156,0.9,0.35,0.1,2,2.202305943567353,18
157,157,0.9,0.35,0.1,4,3.304362148467884,17
158,158,0.9,0.35,0.1,6,3.8244301284609024,20
159,159,0.9,0.35,0.1,8,8.480994399780267,24
160,160,0.9,0.35,0.2,1,4.297838161498787,12
161,161,0.9,0.35,0.2,2,3.423157314943764,12
162,162,0.9,0.35,0.2,4,3.877781681818828,16
163,163,0.9,0.35,0.2,6,3.6216674496418273,14
164,164,0.9,0.35,0.2,8,7.854629724409737,22
165,165,0.9,0.35,0.3,1,4.9877575422088745,13
166,166,0.9,0.35,0.3,2,10.971178341873268,13
167,167,0.9,0.35,0.3,4,6.305638451426324,15
168,168,0.9,0.35,0.3,6,9.302845072783775,22
169,169,0.9,0.35,0.3,8,3.377879889183716,119
170,170,0.9,0.35,0.4,1,8.356981111797271,12
171,171,0.9,0.35,0.4,2,8.37467851272843,22
172,172,0.9,0.35,0.4,4,9.785476987501069,13
