,eta,epsilon,sigma,TMSE,CB
0,0.05,0.35,0.2,0.1490400980921568,94
1,0.05,0.35,0.4,0.0703077348914766,94
2,0.05,0.35,0.6,0.04934762367526081,94
3,0.05,0.5,0.2,0.20737389844078052,42
4,0.05,0.5,0.4,0.0790924116712652,42
5,0.05,0.5,0.6,0.0544360287730621,42
6,0.05,1.0,0.2,0.8529097674174915,13
7,0.05,1.0,0.4,0.11383691061093701,13
8,0.05,1.0,0.6,0.07054340322960262,13
9,0.1,0.35,0.2,0.14266433629852188,94
10,0.1,0.35,0.4,0.07316153522860736,94
11,0.1,0.35,0.6,0.04675425411337219,94
12,0.1,0.5,0.2,0.24820395805772194,42
13,0.1,0.5,0.4,0.08615598706816019,42
14,0.1,0.5,0.6,0.05256948959113787,42
15,0.1,1.0,0.2,1.2544885910629238,13
16,0.1,1.0,0.4,0.12864561280998793,13
17,0.1,1.0,0.6,0.0722125522639396,13
18,0.2,0.35,0.2,0.1925805512201924,94
19,0.2,0.35,0.4,0.08549487859798333,94
20,0.2,0.35,0.6,0.05151197853247778,94
21,0.2,0.5,0.2,0.3948188564574092,42
22,0.2,0.5,0.4,0.10413418757709966,42
23,0.2,0.5,0.6,0.058015160071237415,42
24,0.2,1.0,0.2,1.861953392640899,13
25,0.2,1.0,0.4,0.15316343890272452,13
26,0.2,1.0,0.6,0.08492304566823591,13
