,eta,epsilon,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
0,0.3,0.35,0.05,1,93.85280118888423,71.39669118272745,24,24,25,4.353205715332093
1,0.3,0.35,0.05,2,79.51255814890041,58.87970316539007,32,30,29,6.644727232926872
2,0.3,0.35,0.05,4,19.51260552557437,31.96379237101295,47,46,47,12.0980824926928
3,0.3,0.35,0.05,6,17.221470419624772,16.5110288205684,53,52,51,10.491158182012125
4,0.3,0.35,0.05,8,18.12997132063743,26.353997874148334,66,67,68,12.285617607593034
5,0.3,0.35,0.1,1,74.72590857135681,57.41090528722398,19,19,17,2.5562472493872734
6,0.3,0.35,0.1,2,51.955903446026014,57.025603101193205,20,20,20,2.436719105682885
7,0.3,0.35,0.1,4,52.300673614641354,39.850490923613634,24,24,24,4.380684877961435
8,0.3,0.35,0.1,6,58.78899127401879,54.45422892038445,35,32,26,11.201785571952358
9,0.3,0.35,0.1,8,47.2429679666579,46.95479934274155,29,26,23,8.665540952531467
10,0.3,0.35,0.2,1,59.817032964174395,45.33845401681355,17,17,17,1.9427815111329425
11,0.3,0.35,0.2,2,65.80285553090725,64.40476748810921,17,17,16,3.638681079732051
12,0.3,0.35,0.2,4,46.07754535549253,44.896858204736986,24,23,22,5.914355417118589
13,0.3,0.35,0.2,6,40.50680959640318,39.86772076129181,29,29,28,7.148818084131109
14,0.3,0.35,0.2,8,38.36163882680167,47.082657877624214,26,24,23,8.46876614389605
15,0.3,0.35,0.3,1,30.489163162952718,48.79621811639467,21,22,22,6.078289232999694
16,0.3,0.35,0.3,2,49.19556857099369,63.50267475813237,24,25,25,5.318496028013934
17,0.3,0.35,0.3,4,33.12056230602832,45.02352190357294,27,25,23,7.977493340642786
18,0.3,0.35,0.3,6,36.4609278968563,34.79566995053905,32,30,30,9.099648344853772
19,0.3,0.35,0.3,8,44.24591547059613,74.76144398352939,35,30,28,13.555161378604092
20,0.3,0.35,0.4,1,58.18272198486968,76.23452768493594,21,22,22,6.191122676865643
21,0.3,0.35,0.4,2,38.519994231754524,57.61718536102697,23,23,22,5.49923631061623
22,0.3,0.35,0.4,4,32.5224035574764,52.432391408439784,27,24,22,12.949270249709055
23,0.3,0.35,0.4,6,41.83091318348393,61.66147055064006,82,27,23,371.5057598476772
24,0.3,0.35,0.4,8,36.11325405864297,49.525010731023656,30,27,24,11.751170154499508
25,0.3,0.5,0.05,1,49.80304991304549,42.971126243765,21,21,19,3.0188739622581138
26,0.3,0.5,0.05,2,50.631043454617775,45.539487708302815,26,23,22,5.4602564042359765
27,0.3,0.5,0.05,4,14.7729824874644,21.562880416280077,33,33,32,4.788360888654905
28,0.3,0.5,0.05,6,7.675393987030313,8.905641025388354,39,38,37,5.040674558032882
29,0.3,0.5,0.05,8,6.6521668198953785,6.971878108488722,45,45,44,5.793927855954025
30,0.3,0.5,0.1,1,84.38844897287201,83.44566895548246,14,14,14,1.6178998732925352
31,0.3,0.5,0.1,2,66.05814010356512,54.5796290286288,15,15,15,2.090454496036687
32,0.3,0.5,0.1,4,50.63903880467325,54.13839215787651,18,17,16,4.281354925721528
33,0.3,0.5,0.1,6,63.16033120273832,50.231665961386334,23,21,20,5.0882216932834226
34,0.3,0.5,0.1,8,67.33974247174267,65.18976899429487,20,20,19,2.596998267230843
35,0.3,0.5,0.2,1,78.70399927380431,46.005419072671735,11,11,11,1.652755275290325
36,0.3,0.5,0.2,2,52.038064333237244,54.56518501554889,13,12,12,3.698648401781386
37,0.3,0.5,0.2,4,43.58919311089117,43.844895730394036,17,16,16,4.790991546642512
38,0.3,0.5,0.2,6,51.86672105121971,49.60188283957515,19,18,16,4.587635556580318
39,0.3,0.5,0.2,8,22.67921440802716,29.60044825737255,20,19,19,3.9628777422474184
40,0.3,0.5,0.3,1,59.922683818351224,70.27831047087201,15,16,14,3.3471779157971264
41,0.3,0.5,0.3,2,56.453979234505184,61.190105771197686,17,17,15,5.861740355901137
42,0.3,0.5,0.3,4,49.897206890220424,54.32581414977302,20,19,18,5.608600538458769
43,0.3,0.5,0.3,6,15.02809315075475,22.757834896479093,20,19,16,5.629387178015028
44,0.3,0.5,0.3,8,27.48450431274145,43.322381361099396,26,22,22,9.433323910478213
45,0.3,0.5,0.4,1,37.742303057342355,51.68336554269496,11,11,7,3.963886981234455
46,0.3,0.5,0.4,2,54.311003912583274,43.52744168311784,14,12,12,3.9324801334526787
47,0.3,0.5,0.4,4,71.6129262361204,80.90174721300016,16,16,10,6.057194069864362
48,0.3,0.5,0.4,6,43.00107436748418,56.88029395909509,23,20,16,8.113297726572098
49,0.3,0.5,0.4,8,27.107157426514867,44.18205062510307,22,23,23,4.971277501809771
50,0.3,1.0,0.05,1,2.694022027593604,2.704530196455648,16,15,14,2.2999999999999994
51,0.3,1.0,0.05,2,1.5658181031314304,1.0539161554999612,17,16,15,2.582711753177269
52,0.3,1.0,0.05,4,2.679595712139805,1.1949330365624484,17,17,16,1.585433694608513
53,0.3,1.0,0.05,6,1.7375423091198894,0.91318115514911,19,19,20,1.680952111156055
54,0.3,1.0,0.05,8,1.2031288213418583,0.6093292089423699,19,20,19,1.9209372712298547
55,0.3,1.0,0.1,1,14.35027447155634,9.952933337440605,11,10,10,2.2397321268401726
56,0.3,1.0,0.1,2,7.404965751848372,7.265015429398696,12,13,13,1.775499929597295
57,0.3,1.0,0.1,4,17.967493201829864,12.62949337886983,11,12,12,0.47159304490206416
58,0.3,1.0,0.1,6,10.615889602580257,8.370851263778752,13,14,14,0.6079473661428265
59,0.3,1.0,0.1,8,8.030940844431447,6.5398979446136085,15,15,15,0.8720091742636649
60,0.3,1.0,0.2,1,29.726275573326596,20.903259574718312,5,5,5,1.1019981851164724
61,0.3,1.0,0.2,2,31.323068482355758,15.763133072788207,7,6,6,2.4494897427831788
