,eta,epsilon,sigma_init,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
0,0.05,0.35,0.2,0.2,1,0.26679004060173167,0.15027952412189938,180,187,187,23.458124392201523
1,0.05,0.35,0.2,0.2,2,0.2668435688003498,0.15028404705145754,180,187,187,23.458124392201523
2,0.05,0.35,0.2,0.2,4,0.26713576607280504,0.15022806456584964,180,187,187,23.458124392201523
3,0.05,0.35,0.2,0.2,6,0.2677608911728086,0.15042155156000325,180,187,187,23.458124392201523
4,0.05,0.35,0.2,0.2,8,0.26816357542990393,0.15100785752727605,180,187,187,23.458124392201523
5,0.05,0.35,0.2,0.4,1,0.23593144936470098,0.14752783263974117,180,187,187,23.458124392201523
6,0.05,0.35,0.2,0.4,2,0.2359148777044934,0.14753882412250466,180,187,187,23.458124392201523
7,0.05,0.35,0.2,0.4,4,0.23582718659691382,0.14756680003504824,180,187,187,23.458124392201523
8,0.05,0.35,0.2,0.4,6,0.23488667656967635,0.14799234876919096,180,187,187,23.458124392201523
9,0.05,0.35,0.2,0.4,8,0.23505783596864174,0.1481664534319602,180,187,187,23.458124392201523
10,0.05,0.35,0.2,0.6,1,0.22305010030145617,0.14659964420564228,180,187,187,23.458124392201523
11,0.05,0.35,0.2,0.6,2,0.2229664331559868,0.14662611240919787,180,187,187,23.458124392201523
12,0.05,0.35,0.2,0.6,4,0.2223812942744967,0.14682849123325567,180,187,187,23.458124392201523
13,0.05,0.35,0.2,0.6,6,0.21978515082404593,0.14770348583937576,180,187,187,23.458124392201523
14,0.05,0.35,0.2,0.6,8,0.21982214735500943,0.14775912203734304,180,187,187,23.458124392201523
15,0.05,0.35,0.4,0.2,1,0.2644447373346574,0.15005742411739437,180,187,187,23.458124392201523
16,0.05,0.35,0.4,0.2,2,0.2645188469847917,0.15006942739034276,180,187,187,23.458124392201523
17,0.05,0.35,0.4,0.2,4,0.26454334693409803,0.15012183686248645,180,187,187,23.458124392201523
18,0.05,0.35,0.4,0.2,6,0.26501210449320867,0.1503019125937508,180,187,187,23.458124392201523
19,0.05,0.35,0.4,0.2,8,0.26522961177686377,0.15060796123181258,180,187,187,23.458124392201523
20,0.05,0.35,0.4,0.4,1,0.23572384617141673,0.14742536005202878,180,187,187,23.458124392201523
21,0.05,0.35,0.4,0.4,2,0.23575459461805473,0.14743521015256325,180,187,187,23.458124392201523
22,0.05,0.35,0.4,0.4,4,0.2357709022634706,0.1474622211446451,180,187,187,23.458124392201523
23,0.05,0.35,0.4,0.4,6,0.23601262076563426,0.14764162754337093,180,187,187,23.458124392201523
24,0.05,0.35,0.4,0.4,8,0.23614185475407656,0.14781046199687953,180,187,187,23.458124392201523
25,0.05,0.35,0.4,0.6,1,0.22317971339129464,0.14648351277844182,180,187,187,23.458124392201523
26,0.05,0.35,0.4,0.6,2,0.22319406841688405,0.1464958213219688,180,187,187,23.458124392201523
27,0.05,0.35,0.4,0.6,4,0.2232004857954628,0.14651380121225852,180,187,187,23.458124392201523
28,0.05,0.35,0.4,0.6,6,0.22334060667396333,0.1467227132130556,180,187,187,23.458124392201523
29,0.05,0.35,0.4,0.6,8,0.22343642515647044,0.1468687307996517,180,187,187,23.458124392201523
30,0.05,0.35,0.6,0.2,1,0.2544736989143191,0.14967074624979648,180,187,187,23.458124392201523
31,0.05,0.35,0.6,0.2,2,0.25454460476412744,0.1496821345576758,180,187,187,23.458124392201523
32,0.05,0.35,0.6,0.2,4,0.2543167385088553,0.14977952679962958,180,187,187,23.458124392201523
33,0.05,0.35,0.6,0.2,6,0.2545409015860283,0.14990966254206756,180,187,187,23.458124392201523
34,0.05,0.35,0.6,0.2,8,0.25466480666431723,0.15010581552494148,180,187,187,23.458124392201523
35,0.05,0.35,0.6,0.4,1,0.2328363309477049,0.1474635645746315,180,187,187,23.458124392201523
36,0.05,0.35,0.6,0.4,2,0.23288717113495985,0.14747550139678323,180,187,187,23.458124392201523
37,0.05,0.35,0.6,0.4,4,0.2327434371765771,0.1475753203005717,180,187,187,23.458124392201523
38,0.05,0.35,0.6,0.4,6,0.23292881068861276,0.14772908687978648,180,187,187,23.458124392201523
39,0.05,0.35,0.6,0.4,8,0.23303443910275073,0.14789034278837762,180,187,187,23.458124392201523
40,0.05,0.35,0.6,0.6,1,0.22197122164245212,0.14646369788034372,180,187,187,23.458124392201523
41,0.05,0.35,0.6,0.6,2,0.2220085727887644,0.14647810823056778,180,187,187,23.458124392201523
42,0.05,0.35,0.6,0.6,4,0.22191814429526704,0.1465650702215986,180,187,187,23.458124392201523
43,0.05,0.35,0.6,0.6,6,0.2220785172015301,0.14674661457749053,180,187,187,23.458124392201523
44,0.05,0.35,0.6,0.6,8,0.22217072333396373,0.14689333212167133,180,187,187,23.458124392201523
45,0.05,0.5,0.2,0.2,1,0.2637215203905363,0.14345873898411518,99,107,107,18.184608876739695
46,0.05,0.5,0.2,0.2,2,0.26533546897082483,0.1432519940129235,99,107,107,18.184608876739695
47,0.05,0.5,0.2,0.2,4,0.27105128065326195,0.14232044190666707,99,107,107,18.184608876739695
48,0.05,0.5,0.2,0.2,6,0.27674613042228363,0.14436998703960502,99,107,107,18.184608876739695
49,0.05,0.5,0.2,0.2,8,0.27785548596902787,0.14418062363506398,99,107,107,18.184608876739695
50,0.05,0.5,0.2,0.4,1,0.23252004436308063,0.14471653883937008,99,107,107,18.184608876739695
51,0.05,0.5,0.2,0.4,2,0.23245569877271244,0.14457419756064582,99,107,107,18.184608876739695
52,0.05,0.5,0.2,0.4,4,0.23785338646818704,0.14297822722779813,99,107,107,18.184608876739695
53,0.05,0.5,0.2,0.4,6,0.2411608870147397,0.14384421982425447,99,107,107,18.184608876739695
54,0.05,0.5,0.2,0.4,8,0.2418349525672983,0.14392845582187133,99,107,107,18.184608876739695
55,0.05,0.5,0.2,0.6,1,0.22426465850747337,0.14412588789439873,99,107,107,18.184608876739695
56,0.05,0.5,0.2,0.6,2,0.22205128495525467,0.14498310860919997,99,107,107,18.184608876739695
57,0.05,0.5,0.2,0.6,4,0.2288943188224295,0.14266180729936778,99,107,107,18.184608876739695
58,0.05,0.5,0.2,0.6,6,0.23095849692970488,0.14323640094068057,99,107,107,18.184608876739695
