,TMSE,CB
0,0.9999999998797816,1
1,0.9999999998797816,2
2,0.9999999998797816,3
3,0.9999999998797815,4
4,0.9999999998795152,5
5,0.9999999998797238,6
6,0.9999999998797238,7
7,0.9999999998797238,8
8,0.999999999879688,9
9,0.9999999989357662,10
10,0.9999999989357662,11
11,0.9999999989357662,12
12,0.9999999989357662,13
13,0.9999500500599744,14
14,0.9999500500599744,15
15,0.9999500500599744,16
16,0.9999500500599744,17
17,0.9999500500599732,18
18,0.9999500268726379,19
19,0.9999500268726379,20
20,0.9999500268726379,21
21,0.9999500268726381,22
22,0.9999418816213483,23
23,0.9999418816213484,24
24,0.9999418816213484,25
25,0.9999418792067499,26
26,0.9999418784775226,27
27,0.9999418784799161,28
28,0.9999418784799161,29
29,0.9999418784799161,30
30,0.9999416428316578,31
31,0.999588348720647,32
32,0.9995883487104035,33
33,0.9995883487104035,34
34,0.9995882449210817,35
35,0.9995882449168824,36
36,0.9995882289193098,37
37,0.9995882289193098,38
38,0.9995882289193098,39
39,0.99955194912569,40
40,0.9995492487963029,41
41,0.9995492309423962,42
42,0.9995492309423962,43
43,0.9995492300602671,44
44,0.9995492300564996,44
45,0.9995491628082009,44
46,0.9995491628082009,45
47,0.9995491628082009,46
48,0.9995484381188587,47
49,0.9995484381188501,48
50,0.9995484381159704,49
51,0.9995484381159704,50
52,0.9995484381159704,51
53,0.9995430238704118,52
54,0.9994700533423224,52
55,0.9994700533303894,52
56,0.9994700533303894,53
57,0.9994700530564277,54
58,0.9988268095586736,55
59,0.9984430977881102,56
60,0.9984430778221575,57
61,0.9984430778221575,58
62,0.9984111282878146,59
63,0.9990357826046454,60
64,0.9985882035336286,61
65,0.9985877606967177,62
66,0.9985877485935555,63
67,0.9985877485935555,64
68,0.9985866299911001,65
69,0.9985852132299188,66
70,0.9985852029329665,67
71,0.998585202727198,68
72,0.9985831697794392,69
73,0.9985831697794392,70
74,0.9981751790855722,71
75,0.9926883004014628,72
76,0.9827439101296138,73
77,0.975621195969483,74
78,0.9756206564507852,75
79,0.9756206563292306,76
80,0.9756206044804352,77
81,0.9756206044639402,78
82,0.9756206044600176,78
83,0.9756206044611817,79
84,0.9756206044611817,80
85,0.9756206044611817,81
86,0.9753347250731881,82
87,0.9694674184014505,83
88,0.9694672106949598,84
89,0.9694672106949598,85
90,0.9694487081894858,86
91,0.957656450876374,87
92,0.9463719345389539,88
93,0.9376156190132254,89
94,0.9376156189229925,90
95,0.937615618922373,91
96,0.9376147435613714,92
97,0.9383759681090916,93
98,0.9383758278034843,94
99,0.9383758278024427,94
100,0.9383758278024427,95
101,0.9383758278024427,96
102,0.9373072791193188,97
103,0.9287397374183348,98
104,0.9219032742420097,98
105,0.912419216149345,99
106,0.9124188660187984,100
107,0.9124188355499773,101
108,0.9122249525399193,102
109,0.9124575703468017,102
110,0.9124271596324809,103
111,0.9124239006702051,104
112,0.9124239006286324,105
113,0.9124239006286324,106
114,0.9124238957204629,107
115,0.9124244813296576,108
116,0.9124242142126127,109
117,0.9124241016417877,109
118,0.9124241016417877,110
119,0.9124241016417877,111
120,0.9124202038204787,112
121,0.9086586370826969,113
122,0.9028513080402062,114
123,0.902546730929019,115
124,0.902546730929019,116
125,0.9025346922542637,117
126,0.9025335487063034,117
127,0.9025335395863407,117
128,0.9025335394058698,117
129,0.9025318987266502,117
130,0.9025318987266502,118
131,0.9024982817380437,119
132,0.9018286826242647,120
133,0.9004988696431442,121
134,0.8992320334520814,122
135,0.8992320271525318,123
136,0.8992320270448895,123
137,0.8992319700454597,123
138,0.8992327353911241,123
139,0.8992324714360348,123
140,0.8992324714371798,124
141,0.8992324714371798,125
142,0.8992324714371798,125
143,0.8992280635724814,125
144,0.8991486313627954,125
145,0.8991480896105754,126
146,0.8991480896105754,127
147,0.8917910046473095,128
148,0.8837210126814149,128
149,0.8776073107836249,129
150,0.8705240848513933,129
151,0.8705237981065576,129
152,0.870523798106097,129
153,0.8705237340842648,129
154,0.8705400240478963,129
155,0.8705086242283705,129
156,0.8705086207666481,130
157,0.8705086207666481,130
158,0.8705086207666481,131
159,0.8705200352790148,132
160,0.8702911337943152,132
161,0.8688084603638068,133
162,0.8634128372388441,133
163,0.8634128372386499,134
164,0.8634128372386486,135
165,0.8632667345607336,135
166,0.863267370632418,135
167,0.8632671775764071,135
168,0.8632671753495513,135
169,0.8632671753495513,135
170,0.8632671753495513,135
171,0.8632672632335109,136
172,0.8632597256086221,137
173,0.8632191134319792,138
174,0.8632191133398871,139
175,0.8632191133398871,139
176,0.863219108329396,139
177,0.86323508641902,140
178,0.8632349273890179,141
179,0.8632349273884943,141
180,0.8632349273884943,142
181,0.8632349273884943,143
182,0.8632347912820335,143
183,0.8632347912820272,143
184,0.8632347912792543,143
185,0.8632347912792543,143
186,0.8632347912792543,143
187,0.8632295379621033,143
188,0.8625569722439018,143
189,0.8625569722353447,144
190,0.8625569722353447,145
191,0.8625569722428442,146
192,0.8625568300855659,146
193,0.8625539670528377,146
194,0.8625539650400068,147
195,0.8625539650400068,148
196,0.8625428865108732,149
197,0.8625429105982066,150
198,0.8625429105950595,150
199,0.8625429105958441,150
200,0.8625429105958441,151
201,0.8625429105958441,152
202,0.8625344425077005,153
203,0.856684339797109,153
204,0.8566404899786734,154
205,0.8566404899786734,155
206,0.8563856127566166,155
207,0.8489054749209475,156
208,0.8439558199132609,156
209,0.8417531694942265,157
210,0.8417526024612064,158
211,0.8417526023397673,158
212,0.8417325861047318,158
213,0.8417346769176907,159
214,0.8417345238831164,159
215,0.8417345205302527,159
216,0.8417345205302527,159
217,0.8417345205302527,159
218,0.8417214499029193,159
219,0.8414778942061004,159
220,0.8406668785074635,160
221,0.840665179430596,161
222,0.840665179430596,161
223,0.8406651789696924,162
224,0.8406651787315818,163
225,0.8406572614589911,164
226,0.8406572606296823,164
227,0.8406558889180451,164
228,0.8406558889180451,165
229,0.8406551215397492,166
230,0.8352145553993668,166
231,0.8298870105512012,166
232,0.8248241148429618,166
233,0.8248241141125968,167
234,0.8248241141125113,168
235,0.8248240585990235,168
236,0.8248414921161736,168
237,0.8248413604648678,168
238,0.8248413604650571,168
239,0.8248413604650571,169
240,0.8248413604650571,170
241,0.8248354950489355,171
242,0.8248321669345917,172
243,0.8248203041209522,173
244,0.8248203041209522,174
245,0.8248203041254365,174
246,0.8248202219313285,174
247,0.8247834027870871,174
248,0.8247833919798491,174
249,0.8247833919798491,174
250,0.8247714556548642,174
251,0.8247914684412053,174
252,0.8247914673514092,175
253,0.8247914673513109,176
254,0.8247914673513109,176
255,0.8247914673513109,177
256,0.824791507893497,178
257,0.824573039484269,178
258,0.8245730394727551,178
259,0.8245730394727551,179
260,0.824566029529228,179
261,0.8242588470632578,179
262,0.8193486757289185,179
263,0.8140012799075752,179
264,0.8139842282289296,180
265,0.8139842195976875,181
266,0.8139841798224811,181
267,0.8139854950683586,181
268,0.8139854940828877,181
269,0.8139854940829614,181
270,0.8139854940829614,181
271,0.8139854940829614,182
272,0.813985494112605,182
273,0.8139854941123814,183
274,0.8139854941155167,184
275,0.8139854941155167,185
276,0.8139854941155167,186
