,eta,epsilon,mu,K,TMSE,CB
102,0.1,0.5,0.05,4,0.015028531488484693,7
103,0.1,0.5,0.05,6,0.016908322721598652,7
104,0.1,0.5,0.05,8,0.017641406736214615,7
105,0.1,0.5,0.1,1,0.04367208228010183,6
106,0.1,0.5,0.1,2,0.03319498488165401,7
107,0.1,0.5,0.1,4,0.014492254227500166,7
108,0.1,0.5,0.1,6,0.016301206569158736,7
109,0.1,0.5,0.1,8,0.017551364829454744,7
110,0.1,0.5,0.2,1,0.1804663145925089,6
111,0.1,0.5,0.2,2,0.09112717029480129,7
112,0.1,0.5,0.2,4,0.017361962546629788,7
113,0.1,0.5,0.2,6,0.016829487860786307,7
114,0.1,0.5,0.2,8,0.01776494699082182,7
115,0.1,0.5,0.3,1,0.2523505231443009,5
116,0.1,0.5,0.3,2,0.16128768646612104,6
117,0.1,0.5,0.3,4,0.023286540279626605,7
118,0.1,0.5,0.3,6,0.01952204976824755,7
119,0.1,0.5,0.3,8,0.018930841003188478,7
120,0.1,0.5,0.4,1,0.3546136315595541,5
121,0.1,0.5,0.4,2,0.32477522443851675,6
122,0.1,0.5,0.4,4,0.04258298102604331,7
123,0.1,0.5,0.4,6,0.01919739370342554,7
124,0.1,0.5,0.4,8,0.01776311994357619,7
125,0.1,1.0,0.05,1,0.5133731851656367,4
126,0.1,1.0,0.05,2,0.517626105013553,4
127,0.1,1.0,0.05,4,0.5203465138534448,4
128,0.1,1.0,0.05,6,0.5197007996465671,4
129,0.1,1.0,0.05,8,0.5197007996465671,4
130,0.1,1.0,0.1,1,0.505849812094082,4
131,0.1,1.0,0.1,2,0.5147657021754037,4
132,0.1,1.0,0.1,4,0.520923572281781,4
133,0.1,1.0,0.1,6,0.5197007996465671,4
134,0.1,1.0,0.1,8,0.5197007996465671,4
135,0.1,1.0,0.2,1,0.4885417113073277,4
136,0.1,1.0,0.2,2,0.5060883341267652,4
137,0.1,1.0,0.2,4,0.5219848058274035,4
138,0.1,1.0,0.2,6,0.5197007996465671,4
139,0.1,1.0,0.2,8,0.5197007996465671,4
140,0.1,1.0,0.3,1,0.5635835846648815,3
141,0.1,1.0,0.3,2,0.4936303691251716,4
142,0.1,1.0,0.3,4,0.5124129414512734,4
143,0.1,1.0,0.3,6,0.5197007996465671,4
144,0.1,1.0,0.3,8,0.5197007996465671,4
145,0.1,1.0,0.4,1,0.6577841045275384,3
146,0.1,1.0,0.4,2,0.6345657837102628,4
147,0.1,1.0,0.4,4,0.5122801437521578,4
148,0.1,1.0,0.4,6,0.5197007996465671,4
149,0.1,1.0,0.4,8,0.5197007996465671,4
150,0.2,0.35,0.05,1,0.020414253127493565,7
151,0.2,0.35,0.05,2,0.019289716618219547,7
152,0.2,0.35,0.05,4,0.015621417972088714,7
153,0.2,0.35,0.05,6,0.01580813757808202,7
154,0.2,0.35,0.05,8,0.01642751679764191,7
155,0.2,0.35,0.1,1,0.02863095131522602,7
156,0.2,0.35,0.1,2,0.028153026706392727,7
157,0.2,0.35,0.1,4,0.015759243959331634,7
158,0.2,0.35,0.1,6,0.015852798079277114,7
159,0.2,0.35,0.1,8,0.01618453475546132,7
160,0.2,0.35,0.2,1,0.06713123454945587,7
161,0.2,0.35,0.2,2,0.04302050666117573,7
162,0.2,0.35,0.2,4,0.020368115365783857,7
163,0.2,0.35,0.2,6,0.017294789598832183,7
164,0.2,0.35,0.2,8,0.01803812207646987,7
165,0.2,0.35,0.3,1,0.26587622836888053,6
166,0.2,0.35,0.3,2,0.09443428363215042,7
167,0.2,0.35,0.3,4,0.027845222283012686,8
168,0.2,0.35,0.3,6,0.02000367674370153,7
169,0.2,0.35,0.3,8,0.016350497220173815,7
170,0.2,0.35,0.4,1,0.22415120169621147,6
171,0.2,0.35,0.4,2,0.28797349162230346,6
172,0.2,0.35,0.4,4,0.0807842604524623,9
173,0.2,0.35,0.4,6,0.03157735232374305,7
174,0.2,0.35,0.4,8,0.016631272362931118,7
175,0.2,0.5,0.05,1,0.02010855557409565,7
176,0.2,0.5,0.05,2,0.01971750720076394,7
177,0.2,0.5,0.05,4,0.015145910729693629,7
178,0.2,0.5,0.05,6,0.01625975547508641,7
179,0.2,0.5,0.05,8,0.016764157482678135,7
180,0.2,0.5,0.1,1,0.03806032476055694,7
181,0.2,0.5,0.1,2,0.025005805357268117,7
182,0.2,0.5,0.1,4,0.015481512593529288,7
183,0.2,0.5,0.1,6,0.015854491600777388,7
184,0.2,0.5,0.1,8,0.016644353474690454,7
185,0.2,0.5,0.2,1,0.16280363696258135,6
186,0.2,0.5,0.2,2,0.08364986639989042,6
187,0.2,0.5,0.2,4,0.023079325726782868,7
188,0.2,0.5,0.2,6,0.01613312653374648,7
189,0.2,0.5,0.2,8,0.016700425445696058,7
