,APE_0,APE_1,APE_2,APE_3,APE_4,APE_5,APE_6,APE_7,APE_8,APE_9,APE_10,APE_11,APE_12,APE_13,APE_14,APE_15,APE_16,APE_17,APE_18,APE_19,APE_20,APE_21,APE_22,APE_23,APE_24,APE_25,APE_26,APE_27,APE_28,APE_29,APE_30,APE_31,APE_32,APE_33,APE_34,APE_35,APE_36,APE_37,APE_38,APE_39,APE_40,APE_41,APE_42,APE_43,APE_44,APE_45,APE_46,APE_47,APE_48,APE_49
1120,0.11012852160940832,0.05324624069622313,6.052203062523868,0.6720121301046362,0.26453716540968164,0.08692677322288138,1.1029176658149393,0.11335427388300039,1.45230183127063,0.19965184105802283,0.061570070579219226,0.15081276471284133,0.12760571901495177,0.11893654789542467,0.021183700542745747,0.41127143666327526,0.3667777461723861,0.5339259336721716,0.132889142564609,0.6461295733417248,0.3501562836020463,0.12093004005981761,0.35271306150355275,0.6817741595464376,0.0014292334135563066,0.07923035832677268,0.14607782058502486,0.4060427719423133,0.07195160423676737,0.30442763106799275,0.4655469373995065,1.1075790993998695,0.043988167216424116,0.3718962924323001,0.20969267533640262,0.005464211245541293,0.018698271926041905,0.14375427581496059,0.045240471585793855,0.137798230566868,0.25486763284993985,0.19677903410478928,0.11514513008148052,0.08768681745386184,0.11259542489976365,0.15950129466417537,0.6436975807907273,0.30951301427747346,0.07965118674905287,0.08143560528695258
1121,0.11201117290256514,0.056571678625421715,15.610039963468777,0.39190796308624987,0.28460650884947325,0.09243368193579156,1.000768894838995,0.046236196997024165,1.315515731065426,0.31130192172488697,0.0646165640557399,0.14846623501973277,0.12946383556975036,0.13132318739298596,0.02543505554595551,0.39696660691111557,0.4886017403405672,0.11645507956518028,0.10532326613752728,0.6539106355215384,0.3373513033516422,0.12200366392235036,0.13276599829502167,0.5378936589174116,0.20473198361605954,0.06336137840763767,0.1524386551559031,0.25148762420677906,0.07050510095705827,0.6510516231990496,0.7021129560192594,0.6577563839749851,0.02318257707177848,0.3549636163316126,0.13241909106696914,0.009859702981065695,0.007505923519574592,0.1435691124651069,0.04794477811431526,0.14540057579528812,0.21798210645133365,0.18250456905502588,0.1154105709326566,0.04678608696152562,0.1163858825799521,0.1583591729293726,0.7286587699409108,0.340925441166338,0.0810442183169734,0.08733806709299624
1122,0.11346940964186418,0.06053134820533571,74.33986420333427,2.9902160210145765,0.05141545238232361,0.09467142803737598,0.8729709182849292,0.11420874230197056,1.1657677484600428,0.3415043560607529,0.06878479252803547,0.14618148287158889,0.12688745030229712,0.10475611371171772,0.037982513293193874,0.4377459426118791,0.2542672620300559,0.012070877077465281,0.09541183683773043,0.6710251111995202,0.32447265717861146,0.12341915560474712,0.1978244956997495,0.4871263864957061,0.23534077245189033,0.0538593901614908,0.14695970051088653,0.5009074324396122,0.06817696043493476,7.357490659367774,0.2066373841019141,0.36700500547765513,0.012424905220289786,0.3331273778925116,0.10722754506397311,0.016054640327386377,0.07026165351078421,0.14377739936237907,0.050179157539676944,0.1442441690386135,0.20808101772717735,0.181154880216482,0.11536126529139282,0.08907422439422615,0.11593634846512003,0.15295710517526098,2.259668106492747,0.3851457090003693,0.08122324382345232,0.08843101223265992
1123,0.11458598567023108,0.0631953444776669,10.917832557381152,0.6233313072787038,0.16331335832650581,0.0989671269909867,0.7160512575956939,0.10925459582837271,1.0664354003827285,0.2521072391430565,0.07345202685855254,0.14176940757995787,0.1294985398138882,0.11412944057900083,0.04590759803108269,0.3684216558359563,0.35885705186563505,0.016462880108698195,0.14679036438012025,0.7126357789790887,0.3141773166789532,0.12419388449961799,0.3907854466234909,0.508645600735788,0.4848147637304913,0.0558598562212688,0.14695482919430042,1.7646359220040708,0.044260085184370045,1.1967513258603697,2.9916633531315187,0.20900367236916095,0.01122553173455796,0.3077916494697014,0.0151735799382212,0.02223574217835204,0.01651949168729456,0.14330999312036993,0.053900333558402715,0.1219698639128422,0.22993558974807876,0.1780902081777771,0.11565885102717882,0.04617450211359347,0.11556045273921259,0.14280964749842226,24.235292048317113,0.38642181802051573,0.08427855945278004,0.08806208166895084
1124,0.11504168224068884,0.06645505767737889,5.126266037067242,0.7226131055359368,0.15187645316340548,0.09638135331570281,0.40098787657290147,0.1260831971769902,0.9707359706725349,0.3857648677805901,0.07708448957463622,0.14003251598011277,0.13108142169102754,0.11934309728031874,0.07600583637612505,0.3725877520150546,0.13820728568456575,0.2377181300477622,0.1405985450689593,0.7888082961839695,0.3026658384868057,0.12304180460237882,0.12389959175290996,0.590935126704734,0.8134192679382486,0.050965232014071216,0.13529813759697334,1.0875468225062015,0.047001273001323764,0.6009825836006076,0.5287464070687892,12.678196852991668,0.03678407034982016,0.29645323671760426,0.29469298654489545,0.026471466133380854,0.10819322405817466,0.14054438171398773,0.05553692421322335,0.10706933469453093,0.24332881055304997,0.1944625314938839,0.11564534512749275,0.013024680170010699,0.11116505087672737,0.13853477372962222,3.999687113352088,0.3515768552984532,0.08573673585824995,0.08982401928020826
1125,0.11477920643617093,0.07003896625533315,3.91500594773327,5.418197182529087,0.0732387776397663,0.09838223733452608,0.18370086140221958,0.10120952767303631,0.8692771341062888,0.10230164540966341,0.07924052544487821,0.13698517677911412,0.12873099743670566,0.11410494098667684,0.08369629150481638,0.33372605249254667,0.39373784915733256,0.22118106358611414,0.12323938475855382,0.9204122069708612,0.2925622946721714,0.12296406755624098,1.173741976404372,0.5291668709449355,0.79247142915506,0.04903657223266462,0.13104228454239988,0.23625406887176456,0.03402988950013363,0.2730261893056837,0.2153556395959724,1.9619866623350015,0.0522612819753024,0.2778488994916779,0.05834445992703113,0.029918581683135874,0.1147215314279783,0.1392451161195168,0.059296792069294814,0.11324035077792269,0.26173789181087564,0.1721050075837963,0.11036322819592163,0.05540208903296044,0.11238456082367004,0.12717343182859048,3.268278164835893,0.30985666885204777,0.08742846093869766,0.08733048953096958
1126,0.11563676541646226,0.07212004581601002,2.9763264930446076,3.196671772775263,0.004436309095216155,0.10392725537186878,0.06894257444489846,0.08229354000081333,0.6746511820554081,0.039810678226226116,0.08171126744434808,0.1322369700942711,0.12568453284802367,0.11321511187624765,0.08720845911826194,0.2722063812470343,0.01131894420724373,0.11033271754151072,0.17733897694282666,0.8692070464331694,0.28289625850493955,0.12389310804956329,189.94187796101602,0.5219085234995777,0.7643253427806054,0.02842843623212547,0.12900150030000893,1.2202154882260818,0.05576503199135134,0.12342172881430263,0.1163868037133782,0.9206579899577977,0.06883625649324188,0.26722775937481974,0.027093510615784716,0.03410784668519138,0.09209246583891732,0.1393195349894257,0.06284041542638567,0.10480634186288483,0.24963323142076138,0.21900509394367482,0.10953590789423272,0.06985103991994866,0.11333169006518588,0.13039130980793745,2.2168394607929693,0.3194328792188649,0.09328738973951733,0.08977153899412856
1127,0.11586616767632164,0.07428658924671848,2.5234656212335924,0.3761004181122468,0.03727671649200898,0.1086258651992351,0.1811711966356418,0.11412977857185368,0.6787515518146529,0.03403755889129565,0.08468352277964486,0.13044057247238494,0.12400595354025258,0.11470860579744548,0.0930378014752095,0.1796965375364224,0.06224158350268635,0.15109415335235446,0.18813543007497488,1.0498245430865603,0.27062570131613695,0.12320405175194248,3.2532360880099205,0.5171763128755974,0.13440479767434924,0.018906975351630582,0.13094747765988946,1.4231376645637597,0.05663836313036162,4.224951568608891,5.003332218125895,0.4339083400059203,0.06625046168791782,0.24337887425773302,0.0445761505783646,0.03843516588770984,0.04111817684287671,0.1374590653207731,0.06526529795702654,0.08847072464315016,0.2544152881848397,0.20942207289653963,0.1096454095289953,0.04688630768093363,0.11793439243345276,0.14247392800932215,2.5417163714160305,0.30095721600510206,0.09058770279581753,0.08624771002270079
1128,0.1150937286626077,0.07589290251177357,2.12496281314419,2.663452876235854,0.023783723768297897,0.10942040758319972,0.24613297588485614,0.01252270516080435,0.6087523365830007,0.17152742562848972,0.08895253619574023,0.12327471363189434,0.12317508945620022,0.11985241949877523,0.11006271284026256,0.2526612743456539,0.24187076699094096,0.10965715844356813,0.1866793147700034,1.3067425322913029,0.2575729543642726,0.12249125279680814,0.19029650700511724,0.5205314072862212,0.18435495509867814,0.006058070028021196,0.1279723578951771,2.4545394158460123,0.0399008761821949,0.9532478446338652,1.4487563795418639,5.64438286156534,0.07900294430458703,0.21891327242770117,0.1204696707389233,0.04335851465689926,0.01810897714829657,0.1356649013736805,0.06723287373391972,0.09229072029290186,0.2594463697209806,0.20359795947095535,0.10658051286941955,0.03358993711065336,0.11644566518602346,0.15255741135630635,2.142838040808642,0.3100227866555512,0.09013870912802652,0.08843028594879981
1129,0.1137697807380193,0.07758432700049006,1.8237249320250042,0.3414678014794255,0.054731342720373735,0.10787793919423926,0.4509059015000394,0.06582128671807204,0.5651854238112908,0.34975190522888616,0.08842010093243952,0.12022281389797616,0.12353608237791953,0.10975547193001396,0.11604444359178946,0.2695204912739218,0.022752976357731238,0.029875533329961238,0.17165090642102596,1.6306634149377344,0.24492840416006895,0.1218729565559299,0.8859128906632785,0.489962106678171,0.06805879446695252,0.0031175992844338966,0.13638839235434583,6.747122008350474,0.04433217723036676,0.8076804878505336,1.0495243476852716,1.1671620491534376,0.09431966820264064,0.19016159583277137,0.4064672128114871,0.04742544774895951,0.06833451841595158,0.1340806707955204,0.0679634980688399,0.08783298840537886,0.2681206396757034,0.19159769378636635,0.1057641262082159,0.030679009231459956,0.11231159711727495,0.15587417103964035,3.307720234761091,0.3801287427297138,0.08962523720468842,0.09242260514592826
