,eta,epsilon,sigma,TMSE,CB
0,0.05,0.35,0.2,1.3916091254513339,4
1,0.05,0.35,0.4,1.3815767508882746,4
2,0.05,0.35,0.6,1.3655519344525364,4
3,0.05,0.5,0.2,1.392278847312443,3
4,0.05,0.5,0.4,1.3824318371838296,3
5,0.05,0.5,0.6,1.3672716431150707,3
6,0.05,1.0,0.2,1.3926215912207374,2
7,0.05,1.0,0.4,1.3863199053242923,2
8,0.05,1.0,0.6,1.3739151654941946,2
9,0.1,0.35,0.2,1.3898959497870065,4
10,0.1,0.35,0.4,1.3755471224495097,4
11,0.1,0.35,0.6,1.3536686983233421,4
12,0.1,0.5,0.2,1.3906433717752806,3
13,0.1,0.5,0.4,1.3759235774267344,3
14,0.1,0.5,0.6,1.3550226366352418,3
15,0.1,1.0,0.2,1.3915618025950474,2
16,0.1,1.0,0.4,1.3826390114627054,2
17,0.1,1.0,0.6,1.3650406510819437,2
18,0.2,0.35,0.2,1.387723827646081,4
19,0.2,0.35,0.4,1.367988494620686,4
20,0.2,0.35,0.6,1.34002942388027,4
21,0.2,0.5,0.2,1.3883974445406515,3
22,0.2,0.5,0.4,1.3677549837395007,3
23,0.2,0.5,0.6,1.3408012672015244,3
24,0.2,1.0,0.2,1.3908071994458802,2
25,0.2,1.0,0.4,1.3788990321257402,2
26,0.2,1.0,0.6,1.354853342500274,2
