,eta,epsilon,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
0,0.3,0.35,0.05,1,0.8510179329588218,0.3272738346889884,21,21,18,3.0
1,0.3,0.35,0.05,2,0.7881056997995363,0.35524105698632885,20,20,17,3.5
2,0.3,0.35,0.05,4,0.7673316287905897,0.2828222270665329,23,23,19,4.0
3,0.3,0.35,0.05,6,0.7363205971675638,0.24779783409009168,24,24,21,3.5
4,0.3,0.35,0.05,8,0.7722781884689931,0.24747866902600957,22,22,20,2.0
5,0.3,0.35,0.1,1,0.9175209447108631,0.47666759922717417,15,15,14,1.0
6,0.3,0.35,0.1,2,1.1739982409791199,0.7792800961172514,16,16,14,2.5
7,0.3,0.35,0.1,4,1.0197330182868296,0.6380256658512086,21,21,16,5.0
8,0.3,0.35,0.1,6,0.8597547577349016,0.33747120756780213,22,22,18,4.5
9,0.3,0.35,0.1,8,0.609848982148551,0.41272760118649365,19,19,19,0.5
10,0.3,0.35,0.2,1,1.640468155047808,1.1720637691139066,9,9,9,0.0
11,0.3,0.35,0.2,2,1.1949437588112957,0.7933551288026504,13,13,9,4.0
12,0.3,0.35,0.2,4,1.83787753083381,0.5563139253525994,17,17,12,5.0
13,0.3,0.35,0.2,6,2.016741886298723,0.7009445720717656,20,20,14,6.5
14,0.3,0.35,0.2,8,0.7854970879706502,0.4378649577646246,15,15,14,1.5
15,0.3,0.35,0.3,1,1.149469076346043,0.6816022820393137,8,8,8,0.0
16,0.3,0.35,0.3,2,1.3682871495657418,1.2101536818595957,15,15,8,7.0
17,0.3,0.35,0.3,4,1.904517459162895,0.21518423890368277,16,16,12,4.0
18,0.3,0.35,0.3,6,1.884878985940752,1.5649650129907469,16,16,13,3.5
19,0.3,0.35,0.3,8,1.1793371814397056,0.6771216337519679,16,16,14,2.5
20,0.3,0.35,0.4,1,2.127563376383857,0.5114277686932447,7,7,6,1.5
