,eta,epsilon,sigma,TMSE,CB
0,0.05,0.35,0.2,,4000
1,0.05,0.35,0.4,,4000
2,0.05,0.35,0.6,,4000
3,0.05,0.5,0.2,,4000
4,0.05,0.5,0.4,,4000
5,0.05,0.5,0.6,,4000
6,0.05,1.0,0.2,,4000
7,0.05,1.0,0.4,,4000
8,0.05,1.0,0.6,,4000
9,0.1,0.35,0.2,,4000
10,0.1,0.35,0.4,,4000
11,0.1,0.35,0.6,,4000
12,0.1,0.5,0.2,,4000
13,0.1,0.5,0.4,,4000
14,0.1,0.5,0.6,,4000
15,0.1,1.0,0.2,,4000
16,0.1,1.0,0.4,,4000
17,0.1,1.0,0.6,,4000
18,0.2,0.35,0.2,,4000
19,0.2,0.35,0.4,,4000
20,0.2,0.35,0.6,,4000
21,0.2,0.5,0.2,,4000
22,0.2,0.5,0.4,,4000
23,0.2,0.5,0.6,,4000
24,0.2,1.0,0.2,,4000
25,0.2,1.0,0.4,,4000
26,0.2,1.0,0.6,,4000
