,eta,epsilon,sigma,TMSE,CB
0,0.05,0.35,0.2,0.8089391396225638,10
1,0.05,0.35,0.4,0.7527090197544566,10
2,0.05,0.35,0.6,0.7340485664842932,10
3,0.05,0.5,0.2,0.820891352556362,6
4,0.05,0.5,0.4,0.7572132297102919,6
5,0.05,0.5,0.6,0.7401052286631901,6
6,0.05,1.0,0.2,0.8439062405871105,3
7,0.05,1.0,0.4,0.7693266601298905,3
8,0.05,1.0,0.6,0.7600981263036458,3
9,0.1,0.35,0.2,0.7778259039145317,10
10,0.1,0.35,0.4,0.7499320255211772,10
11,0.1,0.35,0.6,0.7509817009762401,10
12,0.1,0.5,0.2,0.7871478588273094,6
13,0.1,0.5,0.4,0.757937451414078,6
14,0.1,0.5,0.6,0.7646401308312731,6
15,0.1,1.0,0.2,0.8514683829053815,3
16,0.1,1.0,0.4,0.813232682238057,3
17,0.1,1.0,0.6,0.8186459170055878,3
18,0.2,0.35,0.2,0.7802450054952375,10
19,0.2,0.35,0.4,0.8032596356070592,10
20,0.2,0.35,0.6,0.8122971600150268,10
21,0.2,0.5,0.2,0.7902029631654145,6
22,0.2,0.5,0.4,0.8372753577285172,6
23,0.2,0.5,0.6,0.8491638126404194,6
24,0.2,1.0,0.2,1.0542527820920529,3
25,0.2,1.0,0.4,1.02291101010317,3
26,0.2,1.0,0.6,0.963816683276795,3
