,eta,epsilon,sigma_init,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
57,0.05,0.35,0.6,0.1,4,0.3882386150461561,0.0694214766288975,41,41,23,18.5
58,0.05,0.35,0.6,0.1,6,0.39109348826647927,0.06903266534136257,41,41,23,18.5
59,0.05,0.35,0.6,0.1,8,0.3959393339639789,0.07035910556922415,41,41,23,18.5
60,0.05,0.35,0.6,0.2,1,0.3466486342863058,0.07117343261240938,41,41,23,18.5
61,0.05,0.35,0.6,0.2,2,0.34682532230088803,0.07110647582259252,41,41,23,18.5
62,0.05,0.35,0.6,0.2,4,0.34772991595168173,0.07110717541920619,41,41,23,18.5
63,0.05,0.35,0.6,0.2,6,0.3502788442657735,0.07105233905132807,41,41,23,18.5
64,0.05,0.35,0.6,0.2,8,0.3549448784810122,0.0728329916439619,41,41,23,18.5
65,0.05,0.35,0.6,0.3,1,0.3236150149581235,0.06949137725325852,41,41,23,18.5
66,0.05,0.35,0.6,0.3,2,0.32374584532208595,0.06944972117704454,41,41,23,18.5
67,0.05,0.35,0.6,0.3,4,0.3244339608442519,0.06949457836796832,41,41,23,18.5
68,0.05,0.35,0.6,0.3,6,0.3263732902094231,0.06954666845864982,41,41,23,18.5
69,0.05,0.35,0.6,0.3,8,0.329984935980694,0.07104858079714399,41,41,23,18.5
70,0.05,0.35,0.6,0.4,1,0.3086681562746385,0.06741519401776778,41,41,23,18.5
71,0.05,0.35,0.6,0.4,2,0.3087594191813397,0.06738947670033794,41,41,23,18.5
72,0.05,0.35,0.6,0.4,4,0.30924574837096896,0.06743717435759478,41,41,23,18.5
73,0.05,0.35,0.6,0.4,6,0.31060062140909633,0.06747985435748045,41,41,23,18.5
74,0.05,0.35,0.6,0.4,8,0.31301822535260515,0.06842499909493917,41,41,23,18.5
75,0.05,0.5,0.2,0.05,1,0.6621602629884669,0.046681624320677906,27,27,17,10.0
76,0.05,0.5,0.2,0.05,2,0.6623133504568646,0.046708770205694916,27,27,17,10.0
77,0.05,0.5,0.2,0.05,4,0.6649605849642978,0.04458626825161738,27,27,17,10.0
78,0.05,0.5,0.2,0.05,6,0.7087141282066585,0.04648300934023436,27,27,17,10.0
79,0.05,0.5,0.2,0.05,8,0.7755357385928369,0.04065992051722889,27,27,17,10.0
80,0.05,0.5,0.2,0.1,1,0.48382600899190387,0.0038342238020380726,27,27,17,10.0
81,0.05,0.5,0.2,0.1,2,0.48394737058327464,0.0037729278967198465,27,27,17,10.0
82,0.05,0.5,0.2,0.1,4,0.4854051708441005,0.004700634228478523,27,27,17,10.0
83,0.05,0.5,0.2,0.1,6,0.5190568335529655,0.006812380441063692,27,27,17,10.0
84,0.05,0.5,0.2,0.1,8,0.5782462510914864,0.021367216985938686,27,27,17,10.0
85,0.05,0.5,0.2,0.2,1,0.3669514298582256,0.035478446561085925,27,27,17,10.0
86,0.05,0.5,0.2,0.2,2,0.3669891749946954,0.0354067451588522,27,27,17,10.0
87,0.05,0.5,0.2,0.2,4,0.36632730114428974,0.03442986903363493,27,27,17,10.0
88,0.05,0.5,0.2,0.2,6,0.37853748399903964,0.023613399440665817,27,27,17,10.0
89,0.05,0.5,0.2,0.2,8,0.40222054102682303,0.0042671614596659635,27,27,17,10.0
90,0.05,0.5,0.2,0.3,1,0.32611561788636706,0.044208013148101744,27,27,17,10.0
91,0.05,0.5,0.2,0.3,2,0.3261345185088059,0.04415291518010869,27,27,17,10.0
92,0.05,0.5,0.2,0.3,4,0.32520533861280965,0.04301327091338222,27,27,17,10.0
93,0.05,0.5,0.2,0.3,6,0.326336283006998,0.03072227825003715,27,27,17,10.0
94,0.05,0.5,0.2,0.3,8,0.3307357709659304,0.014331525539994727,27,27,17,10.0
95,0.05,0.5,0.2,0.4,1,0.30531503350916755,0.04793770652121215,27,27,17,10.0
96,0.05,0.5,0.2,0.4,2,0.3053378984446268,0.047886831445768024,27,27,17,10.0
97,0.05,0.5,0.2,0.4,4,0.3046632782054103,0.04700930863832797,27,27,17,10.0
98,0.05,0.5,0.2,0.4,6,0.29979397634212135,0.032989319347291074,27,27,17,10.0
99,0.05,0.5,0.2,0.4,8,0.29361149097499145,0.01839919003006718,27,27,17,10.0
100,0.05,0.5,0.4,0.05,1,0.48528707547881467,0.05240719239145994,27,27,17,10.0
101,0.05,0.5,0.4,0.05,2,0.4863608484490902,0.05167422652006706,27,27,17,10.0
102,0.05,0.5,0.4,0.05,4,0.49254832832073836,0.04822906907810123,27,27,17,10.0
103,0.05,0.5,0.4,0.05,6,0.5113710893225184,0.043490493936061664,27,27,17,10.0
104,0.05,0.5,0.4,0.05,8,0.540937937502042,0.03339941577650346,27,27,17,10.0
105,0.05,0.5,0.4,0.1,1,0.40824442836338526,0.05837378420598191,27,27,17,10.0
106,0.05,0.5,0.4,0.1,2,0.4092395611366416,0.05763557437563366,27,27,17,10.0
107,0.05,0.5,0.4,0.1,4,0.4146932685952396,0.05422499943157599,27,27,17,10.0
108,0.05,0.5,0.4,0.1,6,0.43066580680994,0.048510730231164145,27,27,17,10.0
109,0.05,0.5,0.4,0.1,8,0.4606461439972237,0.03777586699368818,27,27,17,10.0
110,0.05,0.5,0.4,0.2,1,0.34304537436680715,0.058915650509176576,27,27,17,10.0
111,0.05,0.5,0.4,0.2,2,0.3437791727202802,0.05828008728868839,27,27,17,10.0
112,0.05,0.5,0.4,0.2,4,0.3473169354293153,0.05544109795924501,27,27,17,10.0
113,0.05,0.5,0.4,0.2,6,0.3549845190489819,0.048212143031175214,27,27,17,10.0
114,0.05,0.5,0.4,0.2,8,0.37534862916246575,0.03815151924528215,27,27,17,10.0
115,0.05,0.5,0.4,0.3,1,0.3143319495550177,0.05780507401813928,27,27,17,10.0
116,0.05,0.5,0.4,0.3,2,0.3148850857424298,0.05726288858641446,27,27,17,10.0
117,0.05,0.5,0.4,0.3,4,0.31721835486367933,0.05489549186547807,27,27,17,10.0
118,0.05,0.5,0.4,0.3,6,0.31904257989640805,0.0465531551278964,27,27,17,10.0
119,0.05,0.5,0.4,0.3,8,0.3308608130688424,0.03624260170974078,27,27,17,10.0
120,0.05,0.5,0.4,0.4,1,0.2985436924621554,0.05690963073494815,27,27,17,10.0
121,0.05,0.5,0.4,0.4,2,0.29895658186949525,0.05645820949593826,27,27,17,10.0
122,0.05,0.5,0.4,0.4,4,0.30050963904769423,0.0544721243878384,27,27,17,10.0
123,0.05,0.5,0.4,0.4,6,0.2982693949974248,0.045454823437334785,27,27,17,10.0
124,0.05,0.5,0.4,0.4,8,0.30362323937883096,0.03416022355741791,27,27,17,10.0
125,0.05,0.5,0.6,0.05,1,0.4090538754529571,0.062371376244313936,27,27,17,10.0
126,0.05,0.5,0.6,0.05,2,0.40979866955182503,0.061898346613484145,27,27,17,10.0
