,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,mean_CB,mean_TMSE
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247779666682243,12.138298980521245,12.107269494303408,12.193369562023591,12.325081895290404,12.39634258488511,12.370274746247812,12.271299686082862,12.156042176632575,1.0,12.245084310296583
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.24781431020142,12.138252408750258,12.107226109752615,12.193340583162835,12.325073961595372,12.396357714373893,12.37030856562167,12.271344677553738,12.15599732873841,1.0,12.245079517750023
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247835443346398,12.13822512473432,12.107200670061951,12.19332356644383,12.325069286937996,12.39636669266448,12.370328863673002,12.27137198801563,12.155971061131673,1.0,12.245076966334365
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247848161633842,12.138209094051012,12.10718571399133,12.193313552600154,12.325066528593027,12.396372005669953,12.37034095803371,12.27138836732695,12.155955630085419,1.0,12.245075556887265
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.24785575450982,12.138199660339913,12.10717690799384,12.193307651329942,12.3250648975502,12.396375141681848,12.370348131047809,12.27139812083617,12.155946550372757,1.0,12.24507475729581
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247860262157118,12.138194104457416,12.107171718160934,12.19330416916754,12.325063929344491,12.396376986856962,12.370352370846268,12.271403902581234,12.155941203721445,1.0,12.245074294143711
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.24786293468414,12.138190831156644,12.107168656846161,12.193302110772711,12.325063350382841,12.396378067303408,12.370354869150198,12.271407319040195,12.155938054378252,1.0,12.24507402152384
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.24786452403167,12.138188901912594,12.107166848560615,12.193300890121813,12.325062999580455,12.396378695001445,12.370356336196682,12.271409332826366,12.155936198911268,1.0,12.245073858571434
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247865468303885,12.138187763631954,12.107165777393991,12.193300161945299,12.32506278227655,12.396379054989529,12.370357193996973,12.271410517502567,12.15593510491761,1.0,12.245073758328706
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866033788831,12.138187090060905,12.107165139179953,12.193299722875972,12.325062643074844,12.396379257185776,12.370357692980285,12.271411213761684,12.155934458326197,1.0,12.245073694581606
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866372888447,12.138186688701188,12.107164754655752,12.193299453306153,12.325062549808658,12.396379367087526,12.37035798173411,12.271411623628762,12.1559340737928,1.0,12.245073651733712
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866576334841,12.138186446042582,12.107164518335921,12.193299283121096,12.325062484055293,12.396379423914707,12.370358148469856,12.271411866765575,12.15593384198734,1.0,12.245073621003023
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866701987,12.138186295289502,12.107164368365584,12.19329917147184,12.325062435509487,12.39637945131006,12.37035824559307,12.271412013947543,12.155933698535602,1.0,12.245073598001076
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866793645416,12.138186197320755,12.107164268720561,12.193299094815366,12.32506239863235,12.39637946363578,12.370358304230571,12.271412106908484,12.15593360569865,1.0,12.245073581511992
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866868620388,12.13818612944254,12.107164198680845,12.193299039827266,12.32506237064343,12.39637946966939,12.370358342807977,12.271412170086988,12.1559335415531,1.0,12.24507357014799
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866928598691,12.138186078732488,12.107164146590726,12.193298999188011,12.325062350307356,12.396379474767004,12.370358372111584,12.271412217578336,12.155933493590146,1.0,12.245073562384924
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866973613563,12.138186038088934,12.1071641061461,12.193298969065502,12.325062337192767,12.396379482126854,12.370358398278176,12.2714122572554,12.155933454917296,1.0,12.245073557409398
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247867008685985,12.138186003872624,12.107164074172333,12.193298947600756,12.325062331214745,12.396379493527899,12.370358424567373,12.271412293221974,12.155933421992595,1.0,12.245073555428476
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247867032521127,12.138185974486571,12.107164049282371,12.19329893398919,12.325062332350425,12.396379509765644,12.370358452421838,12.271412327286294,12.155933393260757,1.0,12.24507355615158
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247867048403045,12.13818594950887,12.107164031056561,12.193298927918288,12.3250623404638,12.396379530916752,12.370358482113566,12.271412359860358,12.15593336832027,1.0,12.245073559840169
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247867060892597,12.138185929152066,12.107164019533856,12.193298929221639,12.32506235520237,12.396379556509984,12.370358513151617,12.271412390523505,12.155933347403911,1.0,12.245073566843505
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247867066509633,12.138185913917427,12.107164014891783,12.193298937667764,12.325062375944086,12.396379585648901,12.370358544553822,12.2714124183894,12.15593333104552,1.0,12.245073576507593
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247867063246758,12.138185904367715,12.10716401724392,12.193298952836033,12.325062401781697,12.396379617112245,12.370358575041573,12.2714124423571,12.155933319859605,1.0,12.245073588205182
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247867050396462,12.138185900974477,12.107164026513805,12.19329897405194,12.325062431536367,12.396379649446187,12.370358603190954,12.271412461291897,12.155933314391504,1.0,12.2450736013104
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247867030977199,12.138185904015495,12.107164042361644,12.193299000365188,12.325062463794902,12.396379681055235,12.370358627558073,12.271412474161263,12.155933315014618,1.0,12.24507361547818
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247867002644506,12.138185913508291,12.107164064150089,12.193299030560242,12.325062496966007,12.39637971029411,12.370358646787231,12.271412480139087,12.155933321861548,1.0,12.24507362965679
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866963693177,12.138185929172446,12.1071640909409,12.193299063192407,12.325062529351245,12.39637973556004,12.37035865970518,12.271412478684598,12.15593333478227,1.0,12.245073642786917
