,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.396161071155467,12.370632506418495,12.271908258272587,12.156527434735445,12.10389144371553,12.168718511019902,12.300845730077551,12.38984485672413,12.38267603525999,12.29464126843075,12.17677163985831,12.105543811398329,12.147519136139342,12.275296647395791,12.379573093194644,12.3915458243194,12.316153012083847,12.198784002590203,12.111844355676105,12.129915900440897,12.24865800039858,12.365533361595965,12.396980261665346,12.335983045834494,12.221920227273008,1.0,12.265514777426965
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.396188782573574,12.370693652569585,12.2719900515066,12.156452719639512,12.103798913349367,12.168653552753899,12.300821609123453,12.389864702186141,12.382731756668681,12.29471909468294,12.176697824622991,12.105448074567008,12.147447497300309,12.275263940281125,12.379584678865333,12.391595565831167,12.316227503220276,12.198715780915968,12.111746216217771,12.129838159095284,12.248616920443187,12.365536438398804,12.397023487031412,12.336053846161846,12.22189602462568,1.0,12.265504271705272
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.396205249879513,12.370730679306597,12.272040353094859,12.156409448230225,12.103745034259838,12.16861562513431,12.300807443124095,12.389876484437991,12.382765381203965,12.294766862797696,12.176655068600795,12.10539234494868,12.147405698895723,12.275244760394196,12.379591538988809,12.391625478781583,12.316273088891064,12.198676299817299,12.111689100857907,12.12979282798944,12.248592861906305,12.365538255286822,12.39704939443476,12.336097032532459,12.221882612716993,1.0,12.265498757060476
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.396214983980103,12.370752853409762,12.272070742053721,12.156384200104487,12.103713491836539,12.168593382460383,12.300799103281738,12.389883457161547,12.382785477445259,12.294795689413343,12.176630119423702,12.105359725452068,12.1473811973501,12.27523348052191,12.37959559049933,12.391643320973873,12.316300552676141,12.198653274309596,12.111655675223435,12.129766266032739,12.248578725099874,12.365539323175321,12.397064816979206,12.336123003109469,12.221875002217793,1.0,12.265495738167658
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.39622075056232,12.370766043212795,12.272088913615741,12.15636940411234,12.103694967278514,12.168580302539572,12.300794182770428,12.389887570766973,12.382797416521441,12.294812915297562,12.176615498427426,12.105340571219656,12.147366793986913,12.275226832156442,12.379597974759525,12.391653907637231,12.316316947918699,12.198639785505526,12.111636050013262,12.129750655987788,12.248570399104365,12.36553994448024,12.397073956312619,12.336138489967766,12.221870618435355,1.0,12.265494035703618
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.396224145989033,12.370773852697821,12.27209971149176,12.156360712391265,12.103684067279136,12.168572595742722,12.300791271376365,12.389889987497531,12.38280447918965,12.294823146454979,12.176606910002654,12.105329302612459,12.147358310423156,12.275222904273075,12.379599369358761,12.391660164352768,12.316326679256724,12.198631864364348,12.111624506013284,12.129741464456313,12.248565484840883,12.365540298315914,12.39707935211824,12.336147675370375,12.221868070416795,1.0,12.265493053051442
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.396226129737556,12.370778458995883,12.272106100962368,12.156355600030395,12.103677644978616,12.168568045811014,12.30078954048118,12.389891397819369,12.382808641380493,12.294829197907738,12.176601859252447,12.105322664858504,12.147353304520188,12.275220575266692,12.379600176129756,12.39166384792282,12.316332431783248,12.198627207447144,12.111617707652153,12.129736043181124,12.248562575729062,12.365540491053157,12.397082525088209,12.336153101715913,12.221866581796176,1.0,12.265492474060046
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.396227302933053,12.37078116541644,12.272109870212718,12.156352590602676,12.10367385522368,12.168565351689208,12.30078850262684,12.389892211490015,12.382811083995135,12.294832765682171,12.176598887152595,12.105318749767651,12.147350343067465,12.275219185579957,12.379600633513503,12.391666006576731,12.316335820979667,12.198624468300078,12.111613699541671,12.129732838408799,12.248560845007146,12.365540586244258,12.397084381151494,12.336156296274675,12.22186570970236,1.0,12.2654921260456
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.396228002266751,12.37078274837004,12.272112088622416,12.156350817143064,12.103671613009881,12.168563748060842,12.300787871138386,12.389892671836224,12.382812509923719,12.294834863570879,12.17659713686901,12.105316435294208,12.147348583084367,12.275218347191258,12.379600883353568,12.391667263731456,12.316337811776101,12.19862285637706,12.11161133188903,12.129730936330407,12.24855980625066,12.365540622295374,12.397085458700492,12.336158170540312,12.221865197955921,1.0,12.26549191102326
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.396228446007454,12.370783669291013,12.272113392748677,12.156349769302565,12.103670279386327,12.168562784467536,12.300787477766589,12.389892923709956,12.382813336783473,12.294836094939555,12.176596103945394,12.105315060619896,12.147347528332876,12.275217832073997,12.379601010462409,12.39166798970527,12.316338978273157,12.198621906273889,12.111609927476092,12.129729798954724,12.248559173407884,12.365540622874091,12.397086077518686,12.336159266628874,12.22186489707588,1.0,12.26549177392105
