,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.145757571168588,12.104394758116516,12.154933881699597,12.284853015757271,12.383789022356579,12.388669151157835,12.30841781869446,12.190545712292362,12.109025995963986,12.13592762853074,12.25851488902652,12.371113030609115,12.395393166138232,12.328916588974655,12.213337406753642,12.118078094523025,12.120941713709572,12.231651469776816,12.354804004348466,12.398540649606543,12.347463096140292,12.236853043770406,12.131081840078458,12.11048809123532,12.205213570224851,1.0,12.241148208426152
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.145717670279836,12.104348482833215,12.154899439255605,12.284837749565641,12.383796873714935,12.388697687505093,12.308459922189886,12.190501891404459,12.108978474129842,12.13589021448284,12.258495418409145,12.371116344959397,12.395418144010366,12.328956670843946,12.213299703239867,12.118029731911033,12.12090162531882,12.231627987664783,12.354802736814673,12.398561802571551,12.347500857213632,12.23686351472538,12.131033133748232,12.110445658645977,12.205186291063319,1.0,12.241134721060059
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.145699867811741,12.104321354819406,12.154879226257728,12.284828767718547,12.383801519409685,12.388714747214076,12.308485397640515,12.190476222216562,12.10895061898092,12.135868263608563,12.25848397083854,12.371118302909586,12.395433042318675,12.32898086888185,12.213277637861388,12.118001386793635,12.120878111044544,12.23161418951322,12.354801988390355,12.398574392114087,12.347523600831476,12.236870125794114,12.131004589316913,12.110420774683618,12.205170269388068,1.0,12.241127169454309
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.145691153770931,12.104305408913184,12.154867336299652,12.284823474799323,12.383804262642212,12.38872488839897,12.308500648281115,12.190461141905399,12.10893424715086,12.135855353792657,12.25847722839007,12.371119456523296,12.395441886564024,12.328995336156765,12.21326468205226,12.117984728189365,12.120864284006757,12.23160606594402,12.354801544150208,12.398581855915186,12.347537180139364,12.23687417722605,12.130987814519521,12.110406144350737,12.205160839863431,1.0,12.241122845597813
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.14568808158749,12.104296021647023,12.1548603320232,12.284820351057629,12.383805877885145,12.388730894051676,12.308509719482808,12.190452268719179,12.10892460999432,12.135847750036419,12.258473251515111,12.371120132665334,12.395447119398854,12.32900393463152,12.213257061700688,12.117974922959366,12.120856141225035,12.231601276479761,12.354801277327143,12.398586267895439,12.347545244136915,12.236876619505795,12.130977941531226,12.110397529637252,12.205155282242158,1.0,12.241120396373457
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.145688498791879,12.104290490540887,12.154856201148018,12.284818503610154,12.383806824369556,12.388734439685809,12.308515092488728,12.190447044309915,12.10891893238415,12.135843266679363,12.258470901797828,12.371120524814218,12.395450206345922,12.329009024803145,12.213252576219343,12.117969147000112,12.120851341025611,12.231598448500222,12.354801113251757,12.39858886828552,12.347550015059937,12.236878077664173,12.13097212627763,12.110392452141918,12.205152002263716,1.0,12.241119044778381
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.145690126721785,12.10428722929533,12.154853761499869,12.284817406913954,12.383807374185658,12.388736526224788,12.308518265031143,12.190443967880006,12.108915585532017,12.135840619967823,12.258469509502937,12.37112074761012,12.395452021175492,12.329012028769197,12.213249935721851,12.117965742902333,12.120848508280035,12.231596774831473,12.35480100810286,12.398590395175129,12.34755282900434,12.236878943086804,12.130968699717005,12.110389456690502,12.205150062758841,1.0,12.24111830106325
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.145692152191517,12.104285304396445,12.154852317179653,12.284816751427194,12.383807688625806,12.388737749080867,12.308520133190136,12.190442156462009,12.108913610987308,12.13583905427111,12.258468680193921,12.371120869172232,12.395453083114033,12.329013796446834,12.213248381674925,12.11796373539497,12.120846833634426,12.231595780151931,12.354800936367374,12.39859128674383,12.34755448359197,12.23687945472876,12.130966679742732,12.110387686875406,12.20514891192397,1.0,12.241117900702777
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.145691706533617,12.10428416575026,12.15485145814748,12.284816354902864,12.383807863495157,12.38873846172136,12.30852123046251,12.190441089641709,12.108912443909054,12.135838124337269,12.258468181557834,12.371120930206766,12.395453700261266,12.329014833566863,12.21324746710735,12.117962549705345,12.120845840166258,12.231595184456475,12.354800883426693,12.398591802911204,12.347555453160753,12.236879756482379,12.130965487531368,12.110386638034559,12.205148224663372,1.0,12.241117593285592
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.145689556315588,12.10428348897011,12.154850942786325,12.284816110226975,12.383807955931497,12.388738873865925,12.30852187364977,12.190440460354667,12.108911751181079,12.135837567750993,12.258467876920584,12.371120955283295,12.395454055425862,12.329015440380235,12.213246928303084,12.117961846824096,12.12084524675001,12.231594822912799,12.354800841161378,12.398592097931564,12.347556019265701,12.236879934330247,12.130964781648256,12.110386012650197,12.205147809521618,1.0,12.241117330013676
