,eta,epsilon,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
0,0.3,0.35,0.05,1,0.03126503306927425,0.01644724017850476,7,7,7,4.060000000000003
1,0.3,0.35,0.05,2,0.03514044502218628,0.02451255365919339,7,7,7,3.5
2,0.3,0.35,0.05,4,0.03467419626140402,0.020264293308139062,7,7,7,4.759999999999988
3,0.3,0.35,0.05,6,0.05221061851879556,0.06402861803568041,7,7,7,5.324697174487962
4,0.3,0.35,0.05,8,0.045972107071324396,0.03288864293019381,7,7,7,3.925353487267104
5,0.3,0.35,0.1,1,0.04018685235028987,0.03754354374354317,7,7,7,2.8000000000000047
6,0.3,0.35,0.1,2,0.03823975044796475,0.04429328002718802,7,7,7,3.219999999999996
7,0.3,0.35,0.1,4,0.03259322453502923,0.02347776552232905,7,7,7,4.9
8,0.3,0.35,0.1,6,0.048160531293371764,0.043496755523986276,7,7,7,4.345112196480088
9,0.3,0.35,0.1,8,0.04758915620564478,0.03778327690534774,7,7,7,3.785445812582713
10,0.3,0.35,0.2,1,0.22804962662455808,0.2342369108409727,7,7,7,6.086838259720731
11,0.3,0.35,0.2,2,0.03562335483375655,0.037243757071253304,7,7,7,4.060000000000003
12,0.3,0.35,0.2,4,0.042023314494584955,0.055166826023990936,7,7,7,4.215257999221402
13,0.3,0.35,0.2,6,0.05415026038335664,0.09354436969304004,7,7,7,3.2258952245849475
14,0.3,0.35,0.2,8,0.048442874676274686,0.041395144325460924,8,7,7,9.243916918709278
15,0.3,0.35,0.3,1,0.2589876238523259,0.2912407088263141,6,7,7,1.130663522008206
16,0.3,0.35,0.3,2,0.06731059088367088,0.08571780105251528,7,7,7,2.0274121435958725
17,0.3,0.35,0.3,4,0.04644853882715869,0.07307487178773338,55,7,7,342.01156939495536
18,0.3,0.35,0.3,6,0.056785291346094266,0.14276055453055808,7,7,7,1.967841457028487
19,0.3,0.35,0.3,8,0.04877012996832535,0.04291993418124737,7,7,7,3.785445812582713
20,0.3,0.35,0.4,1,0.32856570632129073,0.3090010304740038,7,7,7,3.3304053807306992
21,0.3,0.35,0.4,2,0.12852916024010497,0.1970544454458964,12,7,7,38.12400818382033
22,0.3,0.35,0.4,4,0.12770914787236692,0.3385344376399667,65,7,7,409.0375928933671
23,0.3,0.35,0.4,6,0.0586455392922807,0.11215006289744649,7,7,7,3.645545226711637
24,0.3,0.35,0.4,8,0.04383797933260254,0.03189682034901688,14,7,7,53.48304030251088
25,0.3,0.5,0.05,1,0.0868635551827019,0.0892489836773831,6,7,7,1.7822457742971376
26,0.3,0.5,0.05,2,0.11101036729957102,0.11481393763394836,6,7,7,1.9313207915827952
27,0.3,0.5,0.05,4,0.1336063248192056,0.08974306988341789,6,6,6,3.057057408685682
28,0.3,0.5,0.05,6,0.21144800320188056,0.09106303668579331,6,6,6,2.661503334583671
29,0.3,0.5,0.05,8,0.19637670234663926,0.03796016124664955,6,6,6,2.3823517792299316
30,0.3,0.5,0.1,1,0.05010631799508099,0.0752379453209001,7,7,7,1.0583005244258363
31,0.3,0.5,0.1,2,0.08426592368326531,0.09244281742627976,7,7,7,2.741094671841889
32,0.3,0.5,0.1,4,0.12179971699876864,0.10314604294717113,7,7,7,3.4516083207687362
33,0.3,0.5,0.1,6,0.1985375982445194,0.03103053337992583,6,6,6,3.4997714211073863
34,0.3,0.5,0.1,8,0.19572542801542187,0.03981168098909957,6,6,6,2.5219040425837034
35,0.3,0.5,0.2,1,0.04742708407112043,0.09702415103388708,7,7,7,1.4538225476308995
36,0.3,0.5,0.2,2,0.04398702922911158,0.0653388550913172,7,7,7,1.4616429112474787
37,0.3,0.5,0.2,4,0.07024627921121777,0.07961328748620113,7,7,7,2.1541587685219485
38,0.3,0.5,0.2,6,0.1972435984830932,0.03522612972620337,6,6,6,4.47857120072909
39,0.3,0.5,0.2,8,0.20145268215224263,0.0417514034433067,6,6,6,2.5219040425837034
40,0.3,0.5,0.3,1,0.03958474116443425,0.07244969424744174,7,7,7,1.3090454537562852
41,0.3,0.5,0.3,2,0.03997206871433113,0.07105495185904336,6,7,7,0.5276362383309166
42,0.3,0.5,0.3,4,0.06263889550160684,0.07784087024182057,7,7,7,1.7349351572897453
43,0.3,0.5,0.3,6,0.21241477436873332,0.08746430167612804,6,6,6,3.0805194367184203
44,0.3,0.5,0.3,8,0.20012164314416242,0.037678719357250604,6,6,6,1.5467385040788242
45,0.3,0.5,0.4,1,0.08265130269903388,0.1704543542171357,7,7,7,0.4686149805544001
46,0.3,0.5,0.4,2,0.12039322286980056,0.2323146374689481,7,7,7,2.5656188337319286
