,eta,epsilon,sigma_init,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
0,0.05,0.35,0.2,0.2,1,0.01595293004628644,0.0049977327328440384,8,7,7,7.560000000000005
1,0.05,0.35,0.2,0.2,2,0.01601820718769761,0.0050305854474900265,8,7,7,7.560000000000005
2,0.05,0.35,0.2,0.2,4,0.016054050824816958,0.0050661425467374965,8,7,7,7.560000000000005
3,0.05,0.35,0.2,0.2,6,0.01605705874288681,0.005069737731877683,8,7,7,7.560000000000005
4,0.05,0.35,0.2,0.2,8,0.016071376831778568,0.005087757061305871,8,7,7,7.560000000000005
5,0.05,0.35,0.2,0.4,1,0.01585844062542987,0.005024374666897782,8,7,7,7.560000000000005
6,0.05,0.35,0.2,0.4,2,0.01596829309570085,0.005001828710705008,8,7,7,7.560000000000005
7,0.05,0.35,0.2,0.4,4,0.016037073579845743,0.0050477491213657185,8,7,7,7.560000000000005
8,0.05,0.35,0.2,0.4,6,0.016042915878901956,0.0050538407665767894,8,7,7,7.560000000000005
9,0.05,0.35,0.2,0.4,8,0.016070991728386483,0.005087247563364999,8,7,7,7.560000000000005
10,0.05,0.35,0.2,0.6,1,0.015786314786208764,0.005103122121287575,8,7,7,7.560000000000005
11,0.05,0.35,0.2,0.6,2,0.01592200400094776,0.004997128964488998,8,7,7,7.560000000000005
12,0.05,0.35,0.2,0.6,4,0.016020800632098695,0.005032736557735832,8,7,7,7.560000000000005
13,0.05,0.35,0.2,0.6,6,0.01602930922642036,0.005040347694987839,8,7,7,7.560000000000005
14,0.05,0.35,0.2,0.6,8,0.016070607034855668,0.005086739983048499,8,7,7,7.560000000000005
15,0.05,0.35,0.4,0.2,1,0.002969322870363506,0.0004323787568703394,8,7,7,7.560000000000005
16,0.05,0.35,0.4,0.2,2,0.002964624847138936,0.000432441460841483,8,7,7,7.560000000000005
17,0.05,0.35,0.4,0.2,4,0.0029521577087865793,0.0004222860252207878,8,7,7,7.560000000000005
18,0.05,0.35,0.4,0.2,6,0.002940411394531747,0.0004223690428053794,8,7,7,7.560000000000005
19,0.05,0.35,0.4,0.2,8,0.0029330032974995025,0.00041772221536117316,8,7,7,7.560000000000005
20,0.05,0.35,0.4,0.4,1,0.003021048682418598,0.0004602912790758336,8,7,7,7.560000000000005
21,0.05,0.35,0.4,0.4,2,0.0030081035123482496,0.0004595424220444268,8,7,7,7.560000000000005
22,0.05,0.35,0.4,0.4,4,0.0029770128414589553,0.00043388973224606133,8,7,7,7.560000000000005
23,0.05,0.35,0.4,0.4,6,0.002948905967659819,0.0004301676200170518,8,7,7,7.560000000000005
24,0.05,0.35,0.4,0.4,8,0.00293157407020576,0.0004157660174941251,8,7,7,7.560000000000005
25,0.05,0.35,0.4,0.6,1,0.003090978561648053,0.0005008648092328245,8,7,7,7.560000000000005
26,0.05,0.35,0.4,0.6,2,0.0030670428693233697,0.0005007778762431388,8,7,7,7.560000000000005
27,0.05,0.35,0.4,0.6,4,0.003010477767803773,0.00045718583046469433,8,7,7,7.560000000000005
28,0.05,0.35,0.4,0.6,6,0.0029603179123228957,0.000445078100380852,8,7,7,7.560000000000005
29,0.05,0.35,0.4,0.6,8,0.0029302835503363534,0.0004141993914214966,8,7,7,7.560000000000005
30,0.05,0.35,0.6,0.2,1,0.003077566858197051,0.00027659719924075845,8,7,7,7.560000000000005
31,0.05,0.35,0.6,0.2,2,0.00308350789997804,0.0002795398233817444,8,7,7,7.560000000000005
32,0.05,0.35,0.6,0.2,4,0.003093499704022517,0.00028217095486284503,8,7,7,7.560000000000005
33,0.05,0.35,0.6,0.2,6,0.0031051271082031184,0.00027906933486224824,8,7,7,7.560000000000005
34,0.05,0.35,0.6,0.2,8,0.0031095445209913942,0.00027233042678035806,8,7,7,7.560000000000005
35,0.05,0.35,0.6,0.4,1,0.003047603921974682,0.00029187169028806317,8,7,7,7.560000000000005
