,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
239,0.1,1.0,2.0,20,0.011730059869517601,15,0.012314901726870064
240,0.1,1.5,0.001,2,0.012432946036199911,7,0.012555502663735096
241,0.1,1.5,0.001,5,0.012425826466182482,7,0.012548452628419212
242,0.1,1.5,0.001,10,0.012406184902018563,7,0.012529003305254307
243,0.1,1.5,0.001,15,0.012406184902018563,7,0.012529003305254307
244,0.1,1.5,0.001,20,0.012406184902018563,7,0.012529003305254307
245,0.1,1.5,0.1,2,0.022355130229204434,6,0.022405397732793986
246,0.1,1.5,0.1,5,0.014360435625342062,7,0.014466672435276658
247,0.1,1.5,0.1,10,0.012406184902018563,7,0.012529003305254307
248,0.1,1.5,0.1,15,0.012406184902018563,7,0.012529003305254307
249,0.1,1.5,0.1,20,0.012406184902018563,7,0.012529003305254307
250,0.1,1.5,0.1,2,0.022355130229204434,6,0.022405397732793986
251,0.1,1.5,0.1,5,0.014360435625342062,7,0.014466672435276658
252,0.1,1.5,0.1,10,0.012406184902018563,7,0.012529003305254307
253,0.1,1.5,0.1,15,0.012406184902018563,7,0.012529003305254307
254,0.1,1.5,0.1,20,0.012406184902018563,7,0.012529003305254307
255,0.1,1.5,1.0,2,0.042342532462036786,5,0.04236097915887496
256,0.1,1.5,1.0,5,0.01662053054510746,6,0.0166880806446053
257,0.1,1.5,1.0,10,0.012406184902018563,7,0.012529003305254307
258,0.1,1.5,1.0,15,0.012406184902018563,7,0.012529003305254307
259,0.1,1.5,1.0,20,0.012406184902018563,7,0.012529003305254307
260,0.1,1.5,1.5,2,,1396,
261,0.1,1.5,1.5,5,0.010950325340107401,7,0.01108927973559141
262,0.1,1.5,1.5,10,0.012406184902018563,7,0.012529003305254307
263,0.1,1.5,1.5,15,0.012406184902018563,7,0.012529003305254307
264,0.1,1.5,1.5,20,0.012406184902018563,7,0.012529003305254307
265,0.1,1.5,2.0,2,,3936,
266,0.1,1.5,2.0,5,,3836,
267,0.1,1.5,2.0,10,0.012406184902018563,7,0.012529003305254307
268,0.1,1.5,2.0,15,0.012406184902018563,7,0.012529003305254307
269,0.1,1.5,2.0,20,0.012406184902018563,7,0.012529003305254307
270,0.1,2.0,0.001,2,0.015637283285893762,5,0.015687164452611965
271,0.1,2.0,0.001,5,0.015623337782570391,5,0.01567326333181101
272,0.1,2.0,0.001,10,0.015623337782570391,5,0.01567326333181101
273,0.1,2.0,0.001,15,0.015623337782570391,5,0.01567326333181101
274,0.1,2.0,0.001,20,0.015623337782570391,5,0.01567326333181101
275,0.1,2.0,0.1,2,0.01853561332477802,5,0.01857771410388502
276,0.1,2.0,0.1,5,0.015623337782570391,5,0.01567326333181101
277,0.1,2.0,0.1,10,0.015623337782570391,5,0.01567326333181101
278,0.1,2.0,0.1,15,0.015623337782570391,5,0.01567326333181101
279,0.1,2.0,0.1,20,0.015623337782570391,5,0.01567326333181101
280,0.1,2.0,0.1,2,0.01853561332477802,5,0.01857771410388502
281,0.1,2.0,0.1,5,0.015623337782570391,5,0.01567326333181101
282,0.1,2.0,0.1,10,0.015623337782570391,5,0.01567326333181101
283,0.1,2.0,0.1,15,0.015623337782570391,5,0.01567326333181101
284,0.1,2.0,0.1,20,0.015623337782570391,5,0.01567326333181101
285,0.1,2.0,1.0,2,0.052106550127687314,5,0.05212154128773621
286,0.1,2.0,1.0,5,0.015623337782570391,5,0.01567326333181101
287,0.1,2.0,1.0,10,0.015623337782570391,5,0.01567326333181101
288,0.1,2.0,1.0,15,0.015623337782570391,5,0.01567326333181101
289,0.1,2.0,1.0,20,0.015623337782570391,5,0.01567326333181101
290,0.1,2.0,1.5,2,,1508,
291,0.1,2.0,1.5,5,0.015623337782570391,5,0.01567326333181101
292,0.1,2.0,1.5,10,0.015623337782570391,5,0.01567326333181101
293,0.1,2.0,1.5,15,0.015623337782570391,5,0.01567326333181101
294,0.1,2.0,1.5,20,0.015623337782570391,5,0.01567326333181101
295,0.1,2.0,2.0,2,,3937,
296,0.1,2.0,2.0,5,0.015623337782570391,5,0.01567326333181101
297,0.1,2.0,2.0,10,0.015623337782570391,5,0.01567326333181101
298,0.1,2.0,2.0,15,0.015623337782570391,5,0.01567326333181101
299,0.1,2.0,2.0,20,0.015623337782570391,5,0.01567326333181101
300,0.5,0.01,0.001,2,0.9415245354473032,1388,1.00343283325256
301,0.5,0.01,0.001,5,0.26541655660518665,1549,0.4694768482259314
302,0.5,0.01,0.001,10,0.1876734192194539,1839,0.49657967616639415
303,0.5,0.01,0.001,15,0.020482728187202388,2208,0.552379889346083
304,0.5,0.01,0.001,20,0.055338891824173855,2292,0.5756660429001589
305,0.5,0.01,0.1,2,40.006912031806436,365,40.00701609572
306,0.5,0.01,0.1,5,0.5367929817985962,410,0.5464914960987298
307,0.5,0.01,0.1,10,1.866860927794999,340,1.8687949924289728
308,0.5,0.01,0.1,15,2.849526646301857,940,2.859200431586479
309,0.5,0.01,0.1,20,3.1890063663479706,1129,3.201472577909717
310,0.5,0.01,0.1,2,40.006912031806436,365,40.00701609572
