,MSE
0,0.7154287558847702
1,0.7144889242193725
2,0.7103476468239218
3,0.7119284921812128
4,0.7158738172510308
5,0.7124205980399397
6,0.7122079629198349
7,0.7134172402910542
8,0.7150826319998559
9,0.7110065751314699
10,0.71178049717155
11,0.7179172696024039
12,0.7115404847102781
13,0.7081459756370839
14,0.7086336642229761
15,0.7089693998000478
16,0.7037309221672319
17,0.704127672203599
18,0.7110948022123686
19,0.7039073091876374
20,0.702896288266803
21,0.7020264397966335
22,0.7034849703533158
23,0.6988835030121648
24,0.698574917975825
25,0.7053391360697405
26,0.7003184191348508
27,0.6977575717423165
28,0.700073173823454
29,0.7020537326571415
30,0.6964027968793834
31,0.6962687381154272
32,0.7030972856980453
33,0.6977542462096773
34,0.6971349441270077
35,0.697908918686391
36,0.7008410507709217
37,0.6980754126656531
38,0.6980172168158686
39,0.7051136315814212
40,0.7010134927861934
41,0.6996134582351623
42,0.7000276702460494
43,0.7017824354936741
44,0.696699230956971
45,0.6960732833486741
46,0.7035399233575435
47,0.6979208889453352
48,0.6983995387751522
49,0.6998284236172206
50,0.701245667365613
51,0.6980261579794452
52,0.6980040634258051
53,0.7038932442250817
54,0.6996554745366695
55,0.6994730679289229
56,0.701913394662645
57,0.7036026326802618
58,0.6987811855407436
59,0.6970953674735554
60,0.7042808972127411
61,0.6975867350569588
62,0.6951585283169668
63,0.6956542229168483
64,0.6977782594759696
65,0.6922044156464026
66,0.6912486473701561
67,0.6988248202911332
68,0.6933654263132377
69,0.6914590138569385
70,0.6924579476620286
71,0.6952375362252404
72,0.6897657510052856
73,0.6892206944784864
74,0.6968534174838649
75,0.6918389721209499
76,0.6901285698949335
77,0.6912949834051049
78,0.6942640199295226
79,0.6888582675202964
80,0.6884584973345519
81,0.6960969320610121
82,0.6912443533830871
83,0.6896133082319961
84,0.6908417822788421
85,0.6938621289255811
86,0.6884949911960633
87,0.6881497209172935
88,0.6957867269608556
89,0.6909934908157166
90,0.6893962996543967
91,0.6906494482151486
92,0.6936803315667223
93,0.6883358260289705
94,0.6880119260838254
95,0.6956473833240367
96,0.6908763434830557
97,0.6892945607963491
98,0.6905583462312318
99,0.693588690676162
100,0.6882579651371972
101,0.687942913316476
102,0.6955775204089082
103,0.6908150785195837
104,0.6892409005876153
105,0.690509762464499
106,0.6935373293402638
107,0.6882153490592801
108,0.6879042271871084
109,0.6955385046886399
110,0.6907795686585549
111,0.6892094776107497
112,0.6904810448503427
113,0.6935059906085953
114,0.6881897414931495
115,0.6878805126242924
116,0.6955147458378079
117,0.6907573372224388
118,0.6891896132197078
119,0.6904627707107053
120,0.6934857254876936
121,0.6881733135580814
122,0.6878650733327725
123,0.6954993924000222
124,0.6907427014321922
125,0.6891764285377909
126,0.6904505912551553
127,0.6934721407536366
128,0.6881623328426584
129,0.6878546463578052
130,0.6954890961653761
131,0.6907327689748312
132,0.6891674211686548
133,0.6904422500581894
134,0.6934628358210022
135,0.6881548105184474
136,0.6878474514061979
137,0.6954820351003362
138,0.6907259052885452
139,0.689161162639194
140,0.6904364458275859
141,0.6934563775593644
142,0.688149580124033
143,0.687842422245003
144,0.6954771252074257
145,0.6907211086297542
146,0.6891567687134302
147,0.6904323670573037
148,0.6934518558267242
149,0.6881459084026723
150,0.6878388776706514
151,0.6954736797239908
152,0.6907177309872465
153,0.6891536623604462
154,0.6904294816670503
155,0.6934486697700104
156,0.6881433134734614
157,0.6878363646914213
158,0.6954712458042168
159,0.6907153390883145
160,0.6891514549167561
161,0.6904274302547603
162,0.6934464133916692
163,0.6881414700147906
164,0.6878345748592232
165,0.6954695174603219
166,0.6907136374575982
167,0.689149879678851
