,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
152,0.9,0.01,0.01,0.1,2,0.015033379665772862,2497,0.6244309929881566
153,0.9,0.01,0.01,0.1,5,0.014021406036582921,2497,0.6244074489684142
154,0.9,0.01,0.01,0.1,10,0.010911799965074338,2497,0.62434536106107
155,0.9,0.01,0.01,0.1,20,120.49201985174261,2497,120.49363691089765
156,0.9,0.01,0.01,1.0,2,0.31648428316873856,2497,0.6998931089765281
157,0.9,0.01,0.01,1.0,5,0.3090011657145684,2497,0.6965413002205699
158,0.9,0.01,0.01,1.0,10,0.3207717600871174,2497,0.7018422789839518
159,0.9,0.01,0.01,1.0,20,36.184884468970644,2497,36.190268748591144
160,0.9,0.01,0.1,0.001,2,0.017320486052925625,2497,0.6244902415067105
161,0.9,0.01,0.1,0.001,5,0.01732049793905161,2497,0.624490241836377
162,0.9,0.01,0.1,0.001,10,0.017320618397383112,2497,0.6244902451773509
163,0.9,0.01,0.1,0.001,20,0.01734978158531706,2497,0.6244910547166054
164,0.9,0.01,0.1,0.1,2,0.031428356318547505,2497,0.6250406419432945
165,0.9,0.01,0.1,0.1,5,0.03142234157075927,2497,0.6250403395380089
166,0.9,0.01,0.1,0.1,10,0.031363889352312706,2497,0.6250374037250124
167,0.9,0.01,0.1,0.1,20,0.024408382787665377,2497,0.6247270056995369
168,0.9,0.01,0.1,0.1,2,0.031428356318547505,2497,0.6250406419432945
169,0.9,0.01,0.1,0.1,5,0.03142234157075927,2497,0.6250403395380089
170,0.9,0.01,0.1,0.1,10,0.031363889352312706,2497,0.6250374037250124
171,0.9,0.01,0.1,0.1,20,0.024408382787665377,2497,0.6247270056995369
172,0.9,0.01,0.1,1.0,2,0.3108669737863945,2497,0.6973710188207644
173,0.9,0.01,0.1,1.0,5,0.3108917897237733,2497,0.697382081371217
174,0.9,0.01,0.1,1.0,10,0.31111447050475366,2497,0.6974813805811975
175,0.9,0.01,0.1,1.0,20,0.24400389623960356,2497,0.6702432124834292
176,0.9,0.01,2.0,0.001,2,0.17358120034240873,2497,0.6479340210332465
177,0.9,0.01,2.0,0.001,5,0.17358120037321909,2497,0.6479340210415004
178,0.9,0.01,2.0,0.001,10,0.17358120051659864,2497,0.6479340210799118
179,0.9,0.01,2.0,0.001,20,0.17358121114055558,2497,0.6479340239260647
180,0.9,0.01,2.0,0.1,2,0.14960122118315872,2497,0.6419256871940026
181,0.9,0.01,2.0,0.1,5,0.1496012240493004,2497,0.6419256878619588
182,0.9,0.01,2.0,0.1,10,0.14960123738681055,2497,0.6419256909702749
183,0.9,0.01,2.0,0.1,20,0.1496022256727363,2497,0.64192592129173
184,0.9,0.01,2.0,0.1,2,0.14960122118315872,2497,0.6419256871940026
185,0.9,0.01,2.0,0.1,5,0.1496012240493004,2497,0.6419256878619588
186,0.9,0.01,2.0,0.1,10,0.14960123738681055,2497,0.6419256909702749
187,0.9,0.01,2.0,0.1,20,0.1496022256727363,2497,0.64192592129173
188,0.9,0.01,2.0,1.0,2,0.04622626363127452,2497,0.6259592078956169
189,0.9,0.01,2.0,1.0,5,0.046226261867773004,2497,0.6259592077653846
190,0.9,0.01,2.0,1.0,10,0.04622625366142888,2497,0.6259592071593569
191,0.9,0.01,2.0,1.0,20,0.0462256458529901,2497,0.6259591622738069
192,0.9,0.1,0.01,0.001,2,3.88644593817434,404,3.887758098229856
193,0.9,0.1,0.01,0.001,5,3.88644593817434,404,3.887758098229856
194,0.9,0.1,0.01,0.001,10,3.88644593817434,404,3.887758098229856
195,0.9,0.1,0.01,0.001,20,3.88644593817434,404,3.887758098229856
196,0.9,0.1,0.01,0.1,2,3.886445938174342,404,3.887758098229858
197,0.9,0.1,0.01,0.1,5,3.886445938174342,404,3.887758098229858
198,0.9,0.1,0.01,0.1,10,3.886445938174342,404,3.887758098229858
199,0.9,0.1,0.01,0.1,20,3.886445938174342,404,3.887758098229858
