,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98523695556208,1.0010839087177281,0.9661762086528068,1.0076014379402753,1.0012344265471171,1.013745751743095,1.0002790550823675,0.9819191021025879,1.00413545268939,0.9886832072685265,0.9972656428563181,0.9247884160105997,0.9658548634528559,0.98235162352283,0.9896103133514336,1.0008739776595432,0.9948695314510445,0.9942421790790741,0.9834872397333886,0.9912250867863497,1.0,0.9887332190104706
1,5,3,5,5,1,6,3,5,3,4,1,5,4,3,3,3,5,3,4,4,0.9837719745700441,1.0462649497910164,0.9075747414142118,1.0438538587796735,1.0050318409900676,1.0736894228423803,1.0498186161034448,0.9461091768427146,1.0365013922486752,1.0051772861791206,1.007440838457295,0.8380001945159868,0.9894994950166871,1.0011789928883408,0.975705107012573,1.0241943872422177,0.9363264230933757,1.0525423883087737,1.00842002511363,1.0465255433042393,3.75,0.9988813327357233
2,7,7,8,9,2,7,4,7,3,7,2,7,7,5,5,5,7,6,6,7,1.0721866936671036,1.0683505808414864,1.022165866542006,1.1967381097270073,1.0126361220899185,1.0770084699497047,1.1632859509761475,1.0947027964287863,1.0477633314122545,1.2057206556287183,1.0121485379621067,0.9077559572922299,1.1676202856107611,1.0991852014514318,1.0499695843581682,1.0389006323619159,1.0771458266867606,1.0896481381023948,1.1372424925298756,1.0911000092863485,5.9,1.0815637621452563
3,7,9,9,9,2,9,6,9,5,7,3,8,9,5,6,8,8,9,8,8,1.1052438861520448,1.4055346894554408,1.230151526620875,1.2527977483343393,1.0132089085431124,1.2142382100252267,1.3142748474564845,1.3659125655998905,1.0854971078196842,1.2373916248801138,1.0337777518250186,1.0254784748805044,1.4436811971464263,1.2008188000076851,1.2240732969565644,1.2158915078824493,1.12594780511361,1.4521763585581111,1.2484113841959472,1.2274346765355209,7.2,1.2210971183994526
4,7,9,9,11,2,9,7,9,6,8,4,9,10,6,7,8,8,9,8,9,1.0135619663586604,1.4202999906831022,1.218850205120019,0.9808161405685965,1.0144833029245173,1.20677690552667,1.428109750914568,1.3607117344523691,1.176449053173251,1.0302478229886944,1.0630606801692508,0.8061083074527466,1.7377049838906278,1.2158931769273529,1.2456077463456965,1.2324628589904636,0.9967239525949771,1.327097851332457,1.100925564326972,1.3484099471841047,7.75,1.1962150970962548
5,8,9,12,13,2,11,7,10,7,9,4,11,11,6,7,8,9,11,10,11,0.9555228656706561,1.3956695091455682,0.7312116291446581,0.782859493358562,1.0126154701427879,0.9396131306351009,1.3939814998765896,1.0220014798213566,1.2201997937115712,0.8904013885592967,1.0408604710116902,0.6035955573068762,1.4842512175782916,1.048379738649525,0.9548145519766645,1.2104412739681192,0.8411050172756475,0.916564022403707,0.8638001634208645,0.9863332298311785,8.8,1.0147110751744357
6,8,9,15,16,2,14,7,11,7,12,4,14,14,10,8,10,12,13,11,15,0.9208966236217401,1.1262795043872784,0.6276854854735687,0.6681196930441005,1.0213780543344504,0.7344762734642802,1.2152982456802492,0.7843381335634665,1.1305870231639121,0.795832503117994,1.037491246848911,0.5962321397576198,0.7566166568918731,0.8877720184702149,0.902828888705534,0.8999445800988727,0.7358437097283956,0.7819269731343123,0.7515012055876064,0.6925486365168214,10.6,0.8533798797795601
7,10,13,17,20,2,16,7,13,7,15,4,17,18,12,10,12,16,17,13,19,0.8746672757320024,0.7833596491323126,0.5300265474202176,0.4126370415751034,1.019114493492422,0.6185107624383832,0.9922889966891685,0.6024097441157419,1.074205853818831,0.7192324540153122,1.0447643792726475,0.5809198579680644,0.519350909968469,0.8873417503213405,0.8828335151625969,0.810961847442507,0.6036049267291308,0.546619431734864,0.7392303819156586,0.43512183682218064,12.9,0.7338600827883478
8,14,17,21,23,2,18,7,17,7,17,4,20,21,14,10,15,19,20,16,22,0.7160977778622482,0.4824046644900909,0.3977269122589342,0.5718398902270931,1.0319323382313565,0.6436246523644525,0.9289155092140822,0.45871926934643215,1.0178995362154022,1.033475121711593,1.05167991047115,0.5290071421979966,0.5200826220629613,0.9656441118766205,0.8856682104109579,0.7474345559561281,0.5459783586257518,0.5989402664704918,0.6913202368674448,0.7415331552821797,15.2,0.7279962121071684
9,18,20,22,25,3,20,10,18,9,18,5,22,23,15,12,17,20,21,17,24,0.6718909037800835,0.9612291200686365,0.6398648934825859,1.8298116506485207,1.046094313092749,0.9743595779089486,0.9780649039014219,0.5447653346148253,0.9995553577957224,1.5588105032786144,1.075447114311173,0.614918774194022,1.0372358840786575,1.1411103136851288,0.9269858289312934,0.8086038748020034,1.0091394041107185,0.9664575115721713,0.7345545456892765,1.998146077660801,16.95,1.0258522943803678
10,19,21,23,26,3,21,13,19,12,18,5,23,24,15,13,19,21,21,18,24,1.282941409745484,1.6270879153675377,1.1630458495834801,3.013719510929058,1.0540427873073177,0.8607899478300969,1.502837450801389,0.8590154607700435,1.0659421788680596,1.5401435875860225,1.0984072710558197,0.6796403230445327,1.7564776210034045,1.206091512425407,1.119894284639341,1.234499914256493,1.171429321593594,0.866280210597439,0.8272430708285433,1.9877411057884191,17.9,1.295863536701074
11,20,22,23,27,3,21,13,20,12,19,6,24,24,16,13,19,21,21,18,24,1.811843286028632,2.1880587668770097,1.3249488814610457,3.1226523927441727,1.0617485484113056,0.9979436018135174,1.6036609861248832,1.0856636049860442,1.0810975900907813,1.0860566510637408,1.1013008136406945,0.9412399724350673,1.6848056298599396,0.9516531743293482,1.06500264254979,1.5226101274152015,0.9662132429934623,0.7652739243224616,0.8536284848830277,1.6549812385168232,18.3,1.3435191780273474
12,21,23,23,28,3,22,14,21,12,21,6,25,26,17,13,19,24,23,18,25,1.2779732032540279,1.4796115045557003,1.2425110241233956,2.020670971630911,1.0573460448811625,1.2877592714561106,2.0817633453687368,0.5259655427089582,1.0716716909702162,0.6929778454139675,1.1104091960114602,1.2073882179958793,1.1615592197385884,0.8079433531822291,1.030838245942466,1.2617891899383673,0.3389025937957969,0.4715934380858646,0.7624663701175145,1.0606087866343732,19.2,1.0975874527902862
13,23,25,25,29,3,22,14,21,12,23,6,26,28,17,14,19,25,24,18,27,0.6380547445433148,0.7762759262161368,0.7033608749591332,1.3016135754972868,1.045676809480589,0.7821772810808296,1.750733047584491,0.3944988754659542,0.9998387102614278,0.5716716910713533,1.1040054913448716,0.6386772951178946,0.59116143796153,0.7456709190235484,0.9013786102883424,0.9216894575948539,0.2890170479565739,0.2999167060357352,0.7153974267505716,0.43834299350536016,20.05,0.7804579460869899
14,25,26,26,31,3,22,15,23,12,23,6,29,30,17,15,19,25,24,18,29,0.4572123912969546,0.3549009185271841,0.33909245092077117,0.9422613668714381,1.0462688865245,0.614903553426558,1.3700865707002765,0.4192524968957415,1.007746743949593,0.5209151551317043,1.100372789822011,0.18725201075797634,0.46583745073575766,0.7146752231577272,0.8746624331031462,0.6593575400912163,0.2670782763405589,0.2862208323431507,0.7080823526349384,0.47257691696193305,20.9,0.6404378180096569
15,25,28,28,31,3,23,16,24,12,23,6,31,30,17,15,20,25,25,18,29,0.34793804301222053,0.38376195964120874,0.2773095044738752,1.6032783413745204,1.0405330309079932,0.47742851255083807,0.8996161956634091,0.4642069174486788,0.9642801682792805,0.48000583299596244,1.0899086312932156,0.16419289178023405,0.6395939564226911,0.7392559829838784,0.8706093862804646,0.6130780009852776,0.23052111762241081,0.29274252685747426,0.6868078921095155,0.5479203643462227,21.45,0.6406494628514685
16,27,28,28,31,3,23,16,24,12,24,6,31,30,17,15,20,25,25,19,31,0.44126475572351886,0.41738655103582173,0.31442769900057876,1.7415626461814238,1.0332824403761656,0.43696010117901185,0.8539370182409375,0.4790007204392177,0.9666231991816575,0.5604683994080231,1.0645206277833343,0.19578547213500838,0.7026647459882028,0.7944779354759384,0.8300624901543614,0.5797209121845215,0.21905323747456704,0.2803492287454048,0.7234316901511955,0.6385807365304544,21.75,0.6636780303694672
17,29,28,28,31,3,23,16,24,12,24,6,31,30,17,15,20,25,25,19,32,0.8774572903183228,0.3760748691781593,0.30856140567277063,1.5949116863861705,1.04765793508879,0.44159193071716085,0.9353142948812279,0.4788657485960593,0.9629838021978224,0.5491806342623511,1.034300251890784,0.17914178826406765,0.6576736246255399,0.7542932652672812,0.8608751074834333,0.5941670002218812,0.21937480230509288,0.25675511116606253,0.7275682242199338,0.679431211367733,21.9,0.6768089992055323
