,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,mean_CB,mean_TMSE
42,57,48,33,85,28,8,69,74,43,33,4,35,128,50,58,73,48,41,69,47,0.15997241202379853,0.12129357299132514,0.3057175971052892,0.017196699844468373,0.42282578697894596,0.928234931196116,0.04784916553259168,0.03603362313481312,0.41402494628407016,0.27694157680762194,0.9905445521932664,0.6060243952086164,0.023342709758913227,0.06344118490597878,0.13972057777023958,0.10650628373398906,0.12392553104513832,0.23107024375082666,0.07438950683672352,0.08707706195117003,51.55,0.2588066179526951
43,57,48,33,85,29,8,69,74,43,33,4,35,128,50,58,74,48,41,70,47,0.15985809314205987,0.12131289544585984,0.3043793989802229,0.01786160790488969,0.42218784787439106,0.928632955330392,0.04265136546338216,0.03626785594570273,0.4140611993112088,0.276854460833284,0.9905525798284609,0.6253199898954438,0.02321613691303367,0.06050448260482932,0.13891369118553287,0.10668662375829517,0.12262862022380666,0.234423119901454,0.0770240608228989,0.08567899946556384,51.7,0.2594507992415356
44,57,48,33,86,29,8,71,74,43,33,4,36,131,50,58,74,48,41,70,47,0.15692187087274562,0.12164218815774322,0.29861034857074986,0.022310764961865678,0.4203201587948271,0.9286346398539922,0.04135125865955084,0.03589751165035397,0.4150743253739504,0.28075455115657844,0.9906112808223965,0.6068047649753895,0.024952559994540616,0.060602704887571135,0.13890968440952012,0.10699143707406784,0.12041943270880477,0.23207773638813298,0.07819341050677252,0.08669006835207282,52.05,0.2583885349085813
45,57,48,34,88,29,8,71,74,43,33,4,37,132,52,58,74,48,43,70,47,0.15332705265167962,0.12255398246213114,0.29960496196906694,0.02399322737176933,0.4202801990935148,0.9286956026606906,0.04181478801611951,0.03142960010166769,0.4162682952018586,0.28507603490086586,0.9905834989809239,0.5209995146216441,0.026669936854482264,0.06158345768733369,0.14089093965612284,0.10797393832446796,0.12161448473668438,0.19556945862635283,0.07538546225355681,0.0876860157118868,52.5,0.25260002259414105
46,57,48,34,89,29,8,71,74,43,33,4,38,132,52,58,74,48,43,70,47,0.15334530250846673,0.12279729316496599,0.3004969049472072,0.027143284960279717,0.4178132392584445,0.9301719701499355,0.04374375369169203,0.028341251885807467,0.41609954732797183,0.2877764609404421,0.9903935907496877,0.5062497013935026,0.026918686258790035,0.06328763611783837,0.14085221926396216,0.10796430742329371,0.12407585478455406,0.18474744215403022,0.0695983716383635,0.08790180483317071,52.6,0.2514859311726203
47,57,48,34,89,29,8,71,76,43,33,5,38,132,53,58,74,48,44,71,47,0.15337768904807791,0.1242017745795296,0.3003276688421851,0.02611143359092291,0.416534975233851,0.9304530624467136,0.045393356877875185,0.03124449778318144,0.41585693323082173,0.28704571932303724,0.9877461675303695,0.4989444022874066,0.02378514217324924,0.06364413799950729,0.1409191625591091,0.10860166535378508,0.12393089835835916,0.17789943635350067,0.06835558249259303,0.08720706245179946,52.9,0.25057903842579377
48,57,48,34,89,29,8,72,76,43,33,5,38,134,53,58,74,49,45,71,47,0.1542981076554795,0.12746407948077748,0.29954752863360135,0.025890651442031076,0.41766282417348916,0.9306753250064047,0.04520996416655703,0.035590835862133,0.413890943796474,0.28620856184586413,0.9851269431266475,0.4846872885208942,0.023199759758986527,0.06228230211367878,0.14116522480913268,0.10901404971217336,0.1246124522831492,0.1680686617809562,0.06846543519501155,0.0861949396049282,53.15,0.2494627939484185
49,57,48,34,89,29,8,73,76,43,33,5,38,134,53,58,74,49,45,72,48,0.15423149960168658,0.12739184395529876,0.29810055348765396,0.023554724548878015,0.41660651784559505,0.9307283193645297,0.043852737665565786,0.036821710083454126,0.4144647403625713,0.28393871472080096,0.9853342767689751,0.49625473253364044,0.023865121507057264,0.06144738153730571,0.14138474070840215,0.11081876279520564,0.12411323689218091,0.16417869848061384,0.0705782804400427,0.08652818255183896,53.3,0.2497097387925648
50,57,48,34,90,29,8,73,76,43,33,5,38,134,53,59,75,49,45,72,48,0.15338372771286768,0.12619519868810797,0.29714531236352487,0.019331310840069414,0.4187630750471026,0.9307308999013013,0.043170932776644466,0.03521580329616729,0.41625567974970096,0.28510035026676556,0.9855279924215173,0.47658953306395163,0.026633599328865044,0.06313271510695621,0.14156452630206592,0.11040625864964938,0.12318144235321545,0.16297771908953734,0.07199869754078204,0.0870144485346466,53.45,0.2487159611516719
51,57,48,34,92,29,8,73,77,44,33,5,38,135,54,59,75,49,45,72,48,0.1533386616053962,0.12716796249880444,0.2883580647734423,0.019021845846652383,0.4182458452073777,0.9307476333728499,0.0462781711454057,0.034071611266812366,0.4141082061228926,0.2856418260877457,0.9851821487317268,0.4456288013369465,0.028389642833065287,0.06511095687127581,0.14221735187694468,0.1110796836836921,0.12208691375178782,0.16515654731809,0.07225518649918075,0.08697309727902047,53.75,0.2470530079054555
