,CB_0,CB_1,CB_2,TMSE_0,TMSE_1,TMSE_2,mean_CB,mean_TMSE
0,,1.0,1.0,,0.9893898703160915,0.9931251268433076,1.0,0.9912574985796996
1,3.0,6.0,6.0,1.000773093846839,0.8415609263589298,0.824963036789631,5.0,0.8890990189984667
2,3.0,7.0,7.0,1.0007761960680377,0.7838144208122688,0.7472610906301617,5.666666666666667,0.843950569170156
3,4.0,7.0,7.0,1.0007954247775175,0.6712471000950815,0.6673572812074563,6.0,0.7797999353600185
4,4.0,7.0,7.0,1.0008001195333087,0.5512248430376006,0.5498254331024682,6.0,0.7006167985577925
5,,7.0,7.0,,0.49897432435621225,0.4717018673520618,7.0,0.485338095854137
6,,7.0,7.0,,0.44698022600753917,0.4407551779680275,7.0,0.44386770198778336
7,,7.0,7.0,,0.3694582514809284,0.37447269981597003,7.0,0.37196547564844923
8,,7.0,7.0,,0.31387628203533224,0.3139762774672128,7.0,0.3139262797512725
9,,7.0,7.0,,0.29043922817715,0.28291453639835573,7.0,0.2866768822877529
10,,7.0,7.0,,0.24694849336625602,0.2541262052313126,7.0,0.2505373492987843
11,,7.0,7.0,,0.2033998166195864,0.21280663965099916,7.0,0.20810322813529278
12,,7.0,7.0,,0.18412002141563563,0.180667448500701,7.0,0.1823937349581683
13,,7.0,7.0,,0.16452394988664995,0.1680095029548002,7.0,0.16626672642072507
14,,7.0,7.0,,0.13705531061278023,0.14599386298554443,7.0,0.14152458679916233
15,,7.0,7.0,,0.11699560301944807,0.12264655925905778,7.0,0.11982108113925292
16,,7.0,7.0,,0.10871053643255073,0.1109974315395538,7.0,0.10985398398605226
17,,7.0,7.0,,0.093146047547345,0.09843655446875754,7.0,0.09579130100805128
18,,7.0,7.0,,0.07979204566565716,0.08317880695073597,7.0,0.08148542630819657
19,,7.0,7.0,,0.07282304085756236,0.0728948531853465,7.0,0.07285894702145443
20,,7.0,7.0,,0.06607948347544798,0.0664159026809692,7.0,0.06624769307820859
21,,7.0,7.0,,0.054645972875568806,0.05631605708093899,7.0,0.0554810149782539
22,,7.0,7.0,,0.04723665172878674,0.048893341301442794,7.0,0.04806499651511477
23,,7.0,7.0,,0.04380313559382012,0.04405876866290935,7.0,0.04393095212836473
24,,7.0,7.0,,0.035193059378031494,0.04006938538330978,7.0,0.03763122238067064
25,,7.0,7.0,,0.030068173636740508,0.03281741458663621,7.0,0.031442794111688356
26,,7.0,7.0,,0.026859222640262574,0.028876088380096115,7.0,0.027867655510179345
27,,7.0,7.0,,0.02476028636294208,0.02740409393040878,7.0,0.026082190146675427
28,,7.0,7.0,,0.020175003667175145,0.02445192219526688,7.0,0.022313462931221013
29,,7.0,7.0,,0.01735849010294279,0.022034776762133567,7.0,0.019696633432538177
30,,7.0,7.0,,0.016480507114519694,0.019063329385095692,7.0,0.017771918249807693
31,,7.0,7.0,,0.014583132113496622,0.016164270841604576,7.0,0.0153737014775506
32,,7.0,7.0,,0.012272799259560405,0.014402158162718687,7.0,0.013337478711139546
33,,7.0,7.0,,0.011556935059071072,0.013410878073083846,7.0,0.012483906566077459
34,,7.0,7.0,,0.010984950511786794,0.012654168789303482,7.0,0.011819559650545139
35,,7.0,7.0,,0.0097589979481738,0.010461083242003386,7.0,0.010110040595088594
36,,7.0,7.0,,0.008293242972900187,0.008779016366459799,7.0,0.008536129669679992
37,,7.0,7.0,,0.00791317706470752,0.008302293960547956,7.0,0.008107735512627737
38,,7.0,7.0,,0.007488261830969625,0.00791637260352499,7.0,0.007702317217247307
39,,7.0,7.0,,0.00715554576950873,0.0065987905285146585,7.0,0.006877168149011695
40,,7.0,7.0,,0.007093648797178651,0.0057441179326499885,7.0,0.0064188833649143195
41,,7.0,7.0,,0.006966802615733815,0.005499183748090609,7.0,0.006232993181912212
42,,7.0,7.0,,0.006524905808034705,0.005125470550451063,7.0,0.005825188179242885
43,,7.0,7.0,,0.006387881400217583,0.005056422546793638,7.0,0.00572215197350561
44,,7.0,7.0,,0.006272730168414278,0.004592410742134447,7.0,0.005432570455274363
45,,7.0,7.0,,0.006035848615759153,0.004307505932851681,7.0,0.0051716772743054164
46,,7.0,7.0,,0.0058023626867636895,0.004408157923481348,7.0,0.005105260305122519
47,,7.0,7.0,,0.005583549259380323,0.004149871613698225,7.0,0.004866710436539274
48,,7.0,7.0,,0.005389710785620084,0.004018167789526814,7.0,0.004703939287573449
49,,7.0,7.0,,0.005380856339082207,0.004087450027780952,7.0,0.0047341531834315794
50,,7.0,7.0,,0.005188558789358006,0.003780444585946388,7.0,0.0044845016876521974
51,,7.0,7.0,,0.005084209987465254,0.0036318380478855272,7.0,0.004358024017675391
52,,7.0,7.0,,0.004928608635202458,0.0035177110338244417,7.0,0.004223159834513449
53,,7.0,7.0,,0.00472516566149778,0.003533209467346312,7.0,0.004129187564422046
54,,7.0,7.0,,0.004725939905699493,0.003350175913645559,7.0,0.004038057909672526
55,,7.0,7.0,,0.004930211530165159,0.003258946289389287,7.0,0.004094578909777223
56,,7.0,7.0,,0.004667675756791364,0.0031423045277015316,7.0,0.003904990142246448
57,,7.0,7.0,,0.004484496169352148,0.0030677035652199656,7.0,0.003776099867286057
58,,7.0,7.0,,0.004396910185506873,0.003009906550909253,7.0,0.003703408368208063
59,,7.0,7.0,,0.0041786912176213905,0.0030245166233770077,7.0,0.003601603920499199
60,,7.0,7.0,,0.004265546186801853,0.0028875118755785213,7.0,0.003576529031190187
61,,7.0,7.0,,0.004252464552456483,0.002912571517667931,7.0,0.0035825180350622073
62,,7.0,7.0,,0.004192020141032492,0.002976041473316405,7.0,0.003584030807174449
63,,7.0,7.0,,0.004211486149114528,0.0028653830701201553,7.0,0.003538434609617342
64,,7.0,7.0,,0.004256108673779413,0.0028947856881055443,7.0,0.0035754471809424787
65,,7.0,7.0,,0.0043019748668175735,0.0028829344591133465,7.0,0.00359245466296546
66,,7.0,7.0,,0.004261569690055343,0.0028485689021024957,7.0,0.0035550692960789193
67,,7.0,7.0,,0.004450241359664937,0.002835325055039147,7.0,0.003642783207352042
68,,7.0,7.0,,0.004433971516164091,0.0028633437158627896,7.0,0.0036486576160134404
69,,7.0,7.0,,0.004436991333342033,0.0028527325854384804,7.0,0.0036448619593902566
70,,7.0,7.0,,0.00436204621669139,0.00288709267366169,7.0,0.00362456944517654
71,,7.0,7.0,,0.004128411218270893,0.0028264946753799925,7.0,0.0034774529468254425
72,,7.0,7.0,,0.004150702274261542,0.0028332972760238334,7.0,0.003491999775142688
73,,7.0,7.0,,0.0040283294030447935,0.0028596495658741337,7.0,0.0034439894844594636
74,,7.0,7.0,,0.0037842324968826273,0.0028922707645241343,7.0,0.0033382516307033806
75,,7.0,7.0,,0.0038264851485711637,0.0029183450166394387,7.0,0.003372415082605301
76,,7.0,7.0,,0.0038049904902313653,0.002921024228152951,7.0,0.003363007359192158
77,,7.0,7.0,,0.0037576127697110063,0.0029516444541545926,7.0,0.0033546286119327997
78,,7.0,7.0,,0.003733570334094864,0.0029451013853757134,7.0,0.0033393358597352887
79,,7.0,7.0,,0.0036653270119730973,0.0029964908583080623,7.0,0.00333090893514058
80,,7.0,7.0,,0.003617710630852168,0.0032757607941988286,7.0,0.003446735712525498
81,,7.0,7.0,,0.0036259954395688786,0.0032236770239559816,7.0,0.00342483623176243
82,,7.0,7.0,,0.0036460443145548927,0.0032829434344150395,7.0,0.003464493874484966
83,,7.0,7.0,,0.003629287986035373,0.0031880532908662956,7.0,0.0034086706384508342
84,,7.0,7.0,,0.003620076089731522,0.0031646224009815927,7.0,0.0033923492453565574
85,,7.0,7.0,,0.0035918555587909225,0.003100724267147176,7.0,0.003346289912969049
86,,7.0,7.0,,0.00358555029359794,0.003057030369172822,7.0,0.003321290331385381
87,,7.0,7.0,,0.0035925507120441857,0.003007264820057418,7.0,0.003299907766050802
88,,7.0,7.0,,0.003666823775192283,0.0029283230061713772,7.0,0.00329757339068183
89,,7.0,7.0,,0.0036437477407765097,0.0030779377113438837,7.0,0.0033608427260601965
90,,7.0,7.0,,0.0036061020094261998,0.0030899973035848414,7.0,0.0033480496565055206
91,,7.0,7.0,,0.003610428472989125,0.0030258901773743295,7.0,0.0033181593251817272
92,,7.0,7.0,,0.003638765030735264,0.002913231687881197,7.0,0.0032759983593082303
93,,7.0,7.0,,0.003689984568028383,0.0028827638008042823,7.0,0.003286374184416333
94,,7.0,7.0,,0.003708586569172463,0.0028667847411394044,7.0,0.0032876856551559337
95,,7.0,7.0,,0.0036589559862150334,0.002808842941111323,7.0,0.0032338994636631783
96,,7.0,7.0,,0.0036321315345964394,0.0030123958513182726,7.0,0.003322263692957356
97,,7.0,7.0,,0.003598450691117006,0.0030606401174692334,7.0,0.0033295454042931195
98,,7.0,7.0,,0.003613886727837243,0.0032536222481999457,7.0,0.003433754488018594
99,,7.0,7.0,,0.0036282408013666913,0.003310891793602635,7.0,0.003469566297484663
100,,7.0,7.0,,0.003628739594354068,0.0032758871416852043,7.0,0.003452313368019636
101,,7.0,7.0,,0.0036583100702906103,0.003283751622469005,7.0,0.0034710308463798073
102,,7.0,7.0,,0.0036447837754251962,0.003434358356131357,7.0,0.0035395710657782765
103,,7.0,7.0,,0.0036749661249402044,0.003206400621969706,7.0,0.0034406833734549553
104,,7.0,7.0,,0.0036844715450003035,0.0031114765484934787,7.0,0.003397974046746891
105,,7.0,7.0,,0.003649361685095732,0.0029439664428912876,7.0,0.0032966640639935096
106,,7.0,7.0,,0.0036444031262535537,0.003076661101091077,7.0,0.0033605321136723153
107,,7.0,7.0,,0.0037092523243350524,0.002984625583892762,7.0,0.0033469389541139075
108,,7.0,7.0,,0.0036949245392992026,0.0029417370304561075,7.0,0.003318330784877655
109,,7.0,7.0,,0.0036738653925581666,0.0029505918812280096,7.0,0.003312228636893088
110,,7.0,7.0,,0.0036551547607427065,0.0028637234273540947,7.0,0.0032594390940484004
111,,7.0,7.0,,0.0036734750488139497,0.0029198697746098574,7.0,0.0032966724117119038
112,,7.0,7.0,,0.003683760376114316,0.003052550208287796,7.0,0.003368155292201056
113,,7.0,7.0,,0.00362929530389011,0.0029285030057835037,7.0,0.0032788991548368066
114,,7.0,7.0,,0.003700606697079072,0.0029336009957666325,7.0,0.003317103846422852
115,,7.0,7.0,,0.003713650826470123,0.0029436041149844554,7.0,0.0033286274707272894
116,,7.0,7.0,,0.003647528838011721,0.0029027524070686706,7.0,0.0032751406225401958
117,,7.0,7.0,,0.003666763745681238,0.002818158191996073,7.0,0.0032424609688386555
118,,7.0,7.0,,0.0036954772049020003,0.002885420887754622,7.0,0.003290449046328311
119,,7.0,7.0,,0.0036810860830465584,0.0029028827611949914,7.0,0.003291984422120775
120,,7.0,7.0,,0.003675369584282112,0.0028379627838441223,7.0,0.0032566661840631173
121,,7.0,7.0,,0.0036522488456392096,0.0028991086801224675,7.0,0.0032756787628808385
122,,7.0,7.0,,0.003695694592667537,0.0029253248452904166,7.0,0.0033105097189789767
123,,7.0,7.0,,0.0037308541300626846,0.003124933798360503,7.0,0.003427893964211594
124,,7.0,7.0,,0.003747732035289469,0.003311103067439454,7.0,0.0035294175513644614
125,,7.0,7.0,,0.0037051564126130278,0.0034032930397146876,7.0,0.0035542247261638577
126,,7.0,7.0,,0.0037037047618807568,0.0034317047625615827,7.0,0.0035677047622211695
127,,7.0,7.0,,0.0037357789579400445,0.0032046281741618227,7.0,0.0034702035660509334
128,,7.0,7.0,,0.0037246978391725486,0.0033824215534993328,7.0,0.0035535596963359407
129,,7.0,7.0,,0.0037329966604631084,0.003438647440991278,7.0,0.003585822050727193
130,,7.0,7.0,,0.003746515562960391,0.0032359260132768537,7.0,0.003491220788118622
131,,7.0,7.0,,0.003696819262281381,0.003325739402515463,7.0,0.003511279332398422
132,,7.0,7.0,,0.003692184655533652,0.003237976235117235,7.0,0.0034650804453254438
133,,7.0,7.0,,0.0036890621969578154,0.0031823951956369443,7.0,0.00343572869629738
134,,7.0,7.0,,0.003708524680382479,0.003016445763769057,7.0,0.003362485222075768
135,,7.0,7.0,,0.003722320736475091,0.0030088599060957605,7.0,0.0033655903212854257
136,,7.0,7.0,,0.003725449148383396,0.002983010530698025,7.0,0.0033542298395407106
137,,7.0,7.0,,0.0037329383378220658,0.002886867641747745,7.0,0.0033099029897849055
138,,7.0,7.0,,0.0037813548409258656,0.002900333981433475,7.0,0.00334084441117967
139,,7.0,7.0,,0.0037654952851071998,0.0028824034567104546,7.0,0.003323949370908827
140,,7.0,7.0,,0.003769681288562497,0.0028360249844692365,7.0,0.003302853136515867
141,,7.0,7.0,,0.0037401923807145123,0.0028440664501079714,7.0,0.003292129415411242
142,,7.0,7.0,,0.003776801180278366,0.002880095187109981,7.0,0.0033284481836941735
143,,7.0,7.0,,0.0037614726216115162,0.002912202298855655,7.0,0.0033368374602335857
144,,7.0,7.0,,0.0037601487936779854,0.0029297175736340375,7.0,0.0033449331836560114
145,,7.0,7.0,,0.003787306973315805,0.0028725398996033193,7.0,0.0033299234364595623
146,,7.0,7.0,,0.0037620429422297974,0.002904399352053041,7.0,0.003333221147141419
147,,7.0,7.0,,0.0037113533039308355,0.002965965015459201,7.0,0.0033386591596950184
148,,7.0,7.0,,0.0036642615069917817,0.0029208156724587976,7.0,0.0032925385897252897
149,,7.0,7.0,,0.003645859320200137,0.0029140222875239695,7.0,0.003279940803862053
150,,7.0,7.0,,0.0036367107256593495,0.002947058929849171,7.0,0.0032918848277542602
151,,7.0,7.0,,0.0036273328773058157,0.002952023337972919,7.0,0.0032896781076393673
152,,7.0,7.0,,0.003612647162756001,0.00287632939233308,7.0,0.0032444882775445405
153,,7.0,7.0,,0.0036736047329551046,0.0028702211834345957,7.0,0.00327191295819485
154,,7.0,7.0,,0.0037241239242357706,0.002946543840685778,7.0,0.0033353338824607744
155,,7.0,7.0,,0.0037332025557860558,0.002857926488141584,7.0,0.0032955645219638198
156,,7.0,7.0,,0.0037235489263190446,0.002827454148901584,7.0,0.003275501537610314
157,,7.0,7.0,,0.0037968891090702107,0.0028075309631952093,7.0,0.00330221003613271
158,,7.0,7.0,,0.003842545372046148,0.0028208019401103133,7.0,0.0033316736560782306
159,,7.0,7.0,,0.0038481647664444065,0.0028196198191387497,7.0,0.003333892292791578
160,,7.0,7.0,,0.0038296294340690006,0.0028108545870932167,7.0,0.0033202420105811086
161,,7.0,7.0,,0.003938898535074602,0.0028069886663008537,7.0,0.003372943600687728
162,,7.0,7.0,,0.0037366950954566282,0.0028200001208259083,7.0,0.0032783476081412683
163,,7.0,7.0,,0.0037138891549086013,0.0028116903834603194,7.0,0.0032627897691844604
164,,7.0,7.0,,0.0037320430351646334,0.0028252735219486363,7.0,0.0032786582785566346
165,,7.0,7.0,,0.0037584302122152104,0.0028551129604060398,7.0,0.003306771586310625
166,,7.0,7.0,,0.0037684209208756637,0.002940407125638164,7.0,0.0033544140232569138
167,,7.0,7.0,,0.0038441981368588407,0.002918948760445249,7.0,0.003381573448652045
168,,7.0,7.0,,0.003786057908442898,0.0028244239994690223,7.0,0.0033052409539559603
169,,7.0,7.0,,0.0037511916451948343,0.0028014435269042583,7.0,0.0032763175860495465
170,,7.0,7.0,,0.0037045792547659314,0.0027994304210020053,7.0,0.003252004837883968
171,,7.0,7.0,,0.0037308876763698356,0.0027909732462591793,7.0,0.0032609304613145074
172,,7.0,7.0,,0.0036640861472582386,0.002823493074508557,7.0,0.003243789610883398
173,,7.0,7.0,,0.0036592668356497824,0.002854531956809603,7.0,0.003256899396229693
174,,7.0,7.0,,0.0036919853101578543,0.0028912501912782907,7.0,0.0032916177507180725
175,,7.0,7.0,,0.0036913551762120605,0.002929810082847527,7.0,0.003310582629529794
176,,7.0,7.0,,0.0037002457335934256,0.003096896852876305,7.0,0.0033985712932348656
177,,7.0,7.0,,0.003765212715861016,0.0030767720071404924,7.0,0.003420992361500754
178,,7.0,7.0,,0.003770053426089506,0.0029998351722745507,7.0,0.003384944299182028
179,,7.0,7.0,,0.0038446876774506367,0.0030139726272854716,7.0,0.0034293301523680543
